Frame not received: Unknown Frame: size=16088, net_delay=None, decode_delay=None, encode_delay=14, total_delay=None, md5=dd2077a685f20124e781b2e1dc74c755
Unknown Frame: size=9626, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=416f81746059d7fa68447f288f866ae3
Unknown Frame: size=19607, net_delay=53, decode_delay=2, encode_delay=8, total_delay=63, md5=ff7b8daaf98027733d70cc38573948f9
Unknown Frame: size=5310, net_delay=53, decode_delay=1, encode_delay=6, total_delay=60, md5=d1c0583e512a0c5091c4c58f16a32480
Unknown Frame: size=9849, net_delay=52, decode_delay=2, encode_delay=7, total_delay=61, md5=f17665fe64c3a486620d22351a35aa3e
Unknown Frame: size=10961, net_delay=52, decode_delay=2, encode_delay=7, total_delay=61, md5=e5bb6346232f205cdf660896308a6d81
Unknown Frame: size=7165, net_delay=53, decode_delay=1, encode_delay=6, total_delay=60, md5=e3dc8d670da6fd8a15bace83a771bf42
Unknown Frame: size=10685, net_delay=53, decode_delay=1, encode_delay=7, total_delay=61, md5=51d0ddb613ce27e3362ad84fac507ff3
Unknown Frame: size=5902, net_delay=53, decode_delay=2, encode_delay=6, total_delay=61, md5=1f47ae08547ab9b56c618d0c63454066
Unknown Frame: size=19190, net_delay=49, decode_delay=3, encode_delay=10, total_delay=62, md5=91b230a5e60835b218f0766fa958c559
Unknown Frame: size=19213, net_delay=51, decode_delay=2, encode_delay=10, total_delay=63, md5=d5dd04c081a56f656e86a15e221a1e11
Unknown Frame: size=23272, net_delay=53, decode_delay=3, encode_delay=10, total_delay=66, md5=16968dc03d359dcb3465eaf3deed2f69
Unknown Frame: size=19084, net_delay=53, decode_delay=3, encode_delay=10, total_delay=66, md5=770922ae97b7ee8a99e96f165debe34b
Unknown Frame: size=22435, net_delay=54, decode_delay=3, encode_delay=10, total_delay=67, md5=e7a5f9cb963c64ca98f2d99a1ffb54e9
Unknown Frame: size=20386, net_delay=54, decode_delay=3, encode_delay=10, total_delay=67, md5=a273feb6014562ebb1d057b0165f69bb
Unknown Frame: size=29550, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=1ff3ed03497029a8a908276bd06b38a3
Unknown Frame: size=21450, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=3f1fdff2b43cd42151e9d7d978a2ca9f
Unknown Frame: size=17691, net_delay=58, decode_delay=3, encode_delay=10, total_delay=71, md5=27c35a88039e867e5bff5464becad544
Unknown Frame: size=16706, net_delay=62, decode_delay=2, encode_delay=8, total_delay=72, md5=4b71d1d6a52bd19f1f72eca2f28f76e9
Unknown Frame: size=17387, net_delay=61, decode_delay=2, encode_delay=9, total_delay=72, md5=38cf2cde45181e1876cd82e4d5a4b07e
Unknown Frame: size=20623, net_delay=62, decode_delay=3, encode_delay=10, total_delay=75, md5=cd9835807870cf22b8691933f678afd6
Unknown Frame: size=14275, net_delay=64, decode_delay=2, encode_delay=8, total_delay=74, md5=e8e523e1b2521c60ea615ce7bfc153a3
Unknown Frame: size=15364, net_delay=64, decode_delay=2, encode_delay=8, total_delay=74, md5=b319098cf065a9c9291e527fe8c2cae4
Unknown Frame: size=9944, net_delay=63, decode_delay=2, encode_delay=8, total_delay=73, md5=8a4d14d4ed5c8c90d5263d44e1ae24fc
Unknown Frame: size=9476, net_delay=65, decode_delay=2, encode_delay=7, total_delay=74, md5=7e7576bdc2e258ea0ce7b8e180b468f3
Unknown Frame: size=20766, net_delay=65, decode_delay=2, encode_delay=10, total_delay=77, md5=640df1ca625f0bf838dff1aed76fa579
Unknown Frame: size=21155, net_delay=65, decode_delay=3, encode_delay=10, total_delay=78, md5=21cd38d606e83e984997d6f7d3153df9
Unknown Frame: size=14228, net_delay=67, decode_delay=3, encode_delay=9, total_delay=79, md5=ce887079abd82bbee222f35eff68d56e
Unknown Frame: size=11877, net_delay=70, decode_delay=2, encode_delay=7, total_delay=79, md5=2d7fb0f038daeb463446e2e152fda73d
Unknown Frame: size=10152, net_delay=63, decode_delay=2, encode_delay=13, total_delay=78, md5=21660eec7aa420a42d43950687747a80
Unknown Frame: size=15619, net_delay=67, decode_delay=2, encode_delay=9, total_delay=78, md5=a89767ebd36f7e8231c67e43ddf92688
Unknown Frame: size=13117, net_delay=68, decode_delay=2, encode_delay=8, total_delay=78, md5=ed0335424ffc7401ae73a48c15e40160
Unknown Frame: size=11079, net_delay=69, decode_delay=1, encode_delay=7, total_delay=77, md5=edddc2541390697aba55e48b3b1f907a
Unknown Frame: size=19788, net_delay=67, decode_delay=2, encode_delay=9, total_delay=78, md5=f33bab763df744ca81ba18546a343932
Unknown Frame: size=13896, net_delay=66, decode_delay=2, encode_delay=9, total_delay=77, md5=030dc844b2dc9b43da2ceec05d9c510c
Unknown Frame: size=11963, net_delay=66, decode_delay=2, encode_delay=9, total_delay=77, md5=e6019a90ea2f625cf3128c39af9f5eb9
Unknown Frame: size=7496, net_delay=67, decode_delay=2, encode_delay=8, total_delay=77, md5=b54ac91aa720624163c47fd9ceb8da80
Unknown Frame: size=9948, net_delay=67, decode_delay=2, encode_delay=8, total_delay=77, md5=7201c9516290f72da417cbfa526559a4
Unknown Frame: size=22231, net_delay=69, decode_delay=3, encode_delay=10, total_delay=82, md5=a4160a429b0c3118bee71ca1c61b1d04
Unknown Frame: size=2303, net_delay=67, decode_delay=1, encode_delay=7, total_delay=75, md5=bb87bca10ee82112f5ca4447aa5bdc58
Unknown Frame: size=11572, net_delay=66, decode_delay=2, encode_delay=9, total_delay=77, md5=eeb170e0ffed41ed095aebcd8b425941
Unknown Frame: size=13556, net_delay=66, decode_delay=2, encode_delay=9, total_delay=77, md5=5e642974feb0e013535d96b3aad4a16a
Unknown Frame: size=12642, net_delay=66, decode_delay=3, encode_delay=9, total_delay=78, md5=6c58c05ac877f4a3b20494acfad64125
Unknown Frame: size=13622, net_delay=66, decode_delay=2, encode_delay=10, total_delay=78, md5=7c7572e5b841c709147579394e5cf6b1
Unknown Frame: size=13374, net_delay=63, decode_delay=2, encode_delay=11, total_delay=76, md5=3492743b2df6be3d49be92b2a5ac009e
Unknown Frame: size=12593, net_delay=62, decode_delay=2, encode_delay=12, total_delay=76, md5=3af9f195d9d31497d71d33e68a7383e5
Unknown Frame: size=12182, net_delay=63, decode_delay=3, encode_delay=11, total_delay=77, md5=9c6ce9ef703b028d339f1e31b80405c1
Unknown Frame: size=14959, net_delay=64, decode_delay=3, encode_delay=11, total_delay=78, md5=8d43bd8fca944f8b1cf315c5dc277a0a
Unknown Frame: size=11797, net_delay=65, decode_delay=2, encode_delay=10, total_delay=77, md5=d1eb3f55b161aafaabb777ac7a4f81d2
Unknown Frame: size=12240, net_delay=66, decode_delay=2, encode_delay=10, total_delay=78, md5=b78e7995028db9cdcfe74030f52cfdf3
Unknown Frame: size=11365, net_delay=65, decode_delay=2, encode_delay=10, total_delay=77, md5=1391fe12f0e37da69a7141e279183c9e
Unknown Frame: size=10832, net_delay=65, decode_delay=2, encode_delay=9, total_delay=76, md5=606b72f320e583e8557c89de6047064f
Unknown Frame: size=10377, net_delay=65, decode_delay=2, encode_delay=9, total_delay=76, md5=fcf003eb4d47953afac3a60844b2eba7
Unknown Frame: size=11281, net_delay=65, decode_delay=2, encode_delay=9, total_delay=76, md5=fb9464150fac6bc77fbd175b2f8e9bf0
Unknown Frame: size=8330, net_delay=65, decode_delay=2, encode_delay=9, total_delay=76, md5=307648a6ffef26da8d9ccdfa1b89f10b
Unknown Frame: size=9084, net_delay=62, decode_delay=2, encode_delay=12, total_delay=76, md5=113a0e095a4020254e759e719f100785
Unknown Frame: size=7833, net_delay=65, decode_delay=2, encode_delay=8, total_delay=75, md5=e2b4f3d39479efe06ee788a185d01418
Unknown Frame: size=10357, net_delay=64, decode_delay=2, encode_delay=9, total_delay=75, md5=2fe2c7108cc394b11f3b9ed192f350f1
Unknown Frame: size=9316, net_delay=65, decode_delay=2, encode_delay=8, total_delay=75, md5=13e38e537faad8e3a88725147dfc4bf7
Unknown Frame: size=8327, net_delay=66, decode_delay=2, encode_delay=7, total_delay=75, md5=19a6f52aaf55110301ab14e572296d6e
Unknown Frame: size=5388, net_delay=65, decode_delay=1, encode_delay=7, total_delay=73, md5=c139d3de40cc4e92e15fcef99163c2f5
Unknown Frame: size=7121, net_delay=65, decode_delay=2, encode_delay=7, total_delay=74, md5=be006701b51bc08ba697f7f9f2aff379
Unknown Frame: size=12045, net_delay=64, decode_delay=2, encode_delay=9, total_delay=75, md5=1117d02e88af8acd772425de0232c6d4
Unknown Frame: size=13630, net_delay=65, decode_delay=2, encode_delay=9, total_delay=76, md5=6c28733f8074ac9b2865a6516ca9d60c
Unknown Frame: size=8801, net_delay=65, decode_delay=2, encode_delay=8, total_delay=75, md5=9ec8782655a7c923475f24d238ec49c4
Unknown Frame: size=8779, net_delay=64, decode_delay=1, encode_delay=9, total_delay=74, md5=133f0aac27dbf2c3b6f56b860a530914
Unknown Frame: size=13609, net_delay=64, decode_delay=2, encode_delay=10, total_delay=76, md5=c98151e18c54c5545973f7f3407daf8a
Unknown Frame: size=11258, net_delay=64, decode_delay=2, encode_delay=9, total_delay=75, md5=657455a2518ce6b63d3751dacb6d4852
Unknown Frame: size=16758, net_delay=63, decode_delay=3, encode_delay=10, total_delay=76, md5=c536749303e565b86c89c4b56aaab93b
Unknown Frame: size=19335, net_delay=63, decode_delay=2, encode_delay=10, total_delay=75, md5=09e6643f3db3c02dc315caaab76ebc70
Unknown Frame: size=19801, net_delay=63, decode_delay=3, encode_delay=10, total_delay=76, md5=8e7def520ae512a6aad5f5d46acd94f3
Unknown Frame: size=12689, net_delay=64, decode_delay=2, encode_delay=9, total_delay=75, md5=3d16f8fab26ff8f44837d19cded3be74
Unknown Frame: size=16636, net_delay=63, decode_delay=2, encode_delay=10, total_delay=75, md5=5eab088b2a956e856d25fa2849f718c3
Unknown Frame: size=25060, net_delay=62, decode_delay=3, encode_delay=11, total_delay=76, md5=2287241b8a085afca59f064c36c86ea5
Unknown Frame: size=17874, net_delay=63, decode_delay=2, encode_delay=11, total_delay=76, md5=9dc17a77fdfa93a2b464560021ba5c10
Unknown Frame: size=18608, net_delay=63, decode_delay=3, encode_delay=10, total_delay=76, md5=c64268c2b847e2c73f284b0fd5a43d5b
Unknown Frame: size=26571, net_delay=62, decode_delay=3, encode_delay=12, total_delay=77, md5=79bbbf5ee3c4a18aa3523082b279c325
Unknown Frame: size=24536, net_delay=63, decode_delay=3, encode_delay=12, total_delay=78, md5=9831b4addb7012c95ccafe8d3c9eb4f7
Unknown Frame: size=25013, net_delay=64, decode_delay=3, encode_delay=11, total_delay=78, md5=2ca2c3496a39ea0d5ce385cb18651cbd
Unknown Frame: size=27235, net_delay=64, decode_delay=3, encode_delay=11, total_delay=78, md5=4da07a1e146ca598a5a05513b16760ed
Unknown Frame: size=37685, net_delay=68, decode_delay=6, encode_delay=13, total_delay=87, md5=fb7bb32d2515558aa47c18676d27c153
Unknown Frame: size=38993, net_delay=92, decode_delay=5, encode_delay=13, total_delay=110, md5=4023a44ad4dbfa46811d7ae39434501c
Unknown Frame: size=33429, net_delay=104, decode_delay=4, encode_delay=14, total_delay=122, md5=00ca7223dc87f93401e89d9414416760
Unknown Frame: size=29543, net_delay=112, decode_delay=4, encode_delay=13, total_delay=129, md5=376543f29c3d21b553d5fd3762346c88
Unknown Frame: size=32486, net_delay=125, decode_delay=4, encode_delay=13, total_delay=142, md5=9d5e10ecc9879d36308baee83cd460e7
Unknown Frame: size=28152, net_delay=133, decode_delay=3, encode_delay=12, total_delay=148, md5=9ea3084c367b5b4679a7b6c155590273
Unknown Frame: size=25087, net_delay=134, decode_delay=3, encode_delay=11, total_delay=148, md5=965d26e7d75e2a6de205527030944f97
Unknown Frame: size=20595, net_delay=130, decode_delay=3, encode_delay=10, total_delay=143, md5=21b94bf2f5fb3d667b8b1ec3ec314b66
Unknown Frame: size=20828, net_delay=126, decode_delay=3, encode_delay=11, total_delay=140, md5=732a9d9a5def1ac7bf379ddd2cd9445f
Unknown Frame: size=27096, net_delay=127, decode_delay=3, encode_delay=12, total_delay=142, md5=d9dc45b36023b460233444cd3cc49799
Unknown Frame: size=40172, net_delay=147, decode_delay=4, encode_delay=14, total_delay=165, md5=51d9a3413c022d9bcca887a89a5ec746
Unknown Frame: size=13773, net_delay=137, decode_delay=2, encode_delay=10, total_delay=149, md5=757b904fcd846f29fcd28bd5e68bada8
Unknown Frame: size=21075, net_delay=130, decode_delay=3, encode_delay=11, total_delay=144, md5=331bdbcfd2c6372e1e745a7ace10ec3c
Unknown Frame: size=16815, net_delay=121, decode_delay=2, encode_delay=10, total_delay=133, md5=7c7ddf571d1eaa174461157a16d1d7bf
Unknown Frame: size=22557, net_delay=115, decode_delay=3, encode_delay=11, total_delay=129, md5=b3dfc3e01406b289dca0d5016fddd34a
Unknown Frame: size=21198, net_delay=112, decode_delay=3, encode_delay=10, total_delay=125, md5=9d8798a9db7bb63fafd6cf7f4ca0836d
Unknown Frame: size=17852, net_delay=115, decode_delay=3, encode_delay=10, total_delay=128, md5=7466ba6a52f2139736587787b9344c5f
Unknown Frame: size=17811, net_delay=116, decode_delay=2, encode_delay=10, total_delay=128, md5=58a5c50ac7827d5807f4982820d4e21a
Unknown Frame: size=19007, net_delay=116, decode_delay=3, encode_delay=10, total_delay=129, md5=fb17b858f413929a9ef68ef276995a10
Unknown Frame: size=22140, net_delay=116, decode_delay=3, encode_delay=10, total_delay=129, md5=843f2f150af791e9fb2b16fa3d553159
Unknown Frame: size=17021, net_delay=118, decode_delay=3, encode_delay=9, total_delay=130, md5=ecb067d53efa885f6677722c1007f5ed
Unknown Frame: size=19154, net_delay=116, decode_delay=2, encode_delay=10, total_delay=128, md5=2d779f4e4de5887b4dde6603af13ba05
Unknown Frame: size=17563, net_delay=116, decode_delay=3, encode_delay=9, total_delay=128, md5=cbf40ea458e0dffe683f8133bbf41f76
Unknown Frame: size=18079, net_delay=116, decode_delay=2, encode_delay=10, total_delay=128, md5=c94cd2093d93da00fc13f36f74ed0582
Unknown Frame: size=17261, net_delay=114, decode_delay=2, encode_delay=10, total_delay=126, md5=80804c20bfe134869dcac6c7401ff549
Unknown Frame: size=21649, net_delay=113, decode_delay=3, encode_delay=11, total_delay=127, md5=bb3ab11e253b07347bb2fa3d474c0a0e
Unknown Frame: size=27626, net_delay=112, decode_delay=3, encode_delay=12, total_delay=127, md5=c975db3ea2f3069ac06dd5779bb1ec8c
Unknown Frame: size=25133, net_delay=113, decode_delay=3, encode_delay=12, total_delay=128, md5=362e707a53b2d3211e7d8c1525ecaa78
Unknown Frame: size=19140, net_delay=112, decode_delay=3, encode_delay=11, total_delay=126, md5=c0eeecf61f6842a314a5c312b469e886
Unknown Frame: size=18787, net_delay=111, decode_delay=2, encode_delay=11, total_delay=124, md5=222f79c33eab9784e40ea9246176940a
Unknown Frame: size=16005, net_delay=110, decode_delay=3, encode_delay=11, total_delay=124, md5=21ef41d7c80a1609debb2cbea29e2560
Unknown Frame: size=12823, net_delay=112, decode_delay=2, encode_delay=10, total_delay=124, md5=2b5589dd83cd17e9fb6c1d331d12ed2f
Unknown Frame: size=9643, net_delay=111, decode_delay=2, encode_delay=9, total_delay=122, md5=7a45c9d3016dbefc92130de02c979c3d
Unknown Frame: size=15731, net_delay=111, decode_delay=2, encode_delay=10, total_delay=123, md5=31f0b99a5deb58451fa622b37309e31c
Unknown Frame: size=13473, net_delay=111, decode_delay=2, encode_delay=10, total_delay=123, md5=c4e0f6afe2021360d388a194c03254f4
Unknown Frame: size=13840, net_delay=110, decode_delay=3, encode_delay=9, total_delay=122, md5=f64c9da23a9bb0d3ad885942211db684
Unknown Frame: size=11605, net_delay=110, decode_delay=2, encode_delay=9, total_delay=121, md5=d8bee20a041119a8de540209220d0f5b
Unknown Frame: size=16328, net_delay=107, decode_delay=2, encode_delay=11, total_delay=120, md5=a147a87d97f29b0939d9cda2618cf28c
Unknown Frame: size=12707, net_delay=109, decode_delay=2, encode_delay=9, total_delay=120, md5=fb629095b0ef66d0095c936ba385898b
Unknown Frame: size=12001, net_delay=108, decode_delay=2, encode_delay=9, total_delay=119, md5=5b8d61eb5b22e09ca15c0b3384e98f2e
Unknown Frame: size=16617, net_delay=107, decode_delay=2, encode_delay=10, total_delay=119, md5=443ab9aec3d3cdffd3ef9cfb5fe46855
Unknown Frame: size=14212, net_delay=107, decode_delay=2, encode_delay=9, total_delay=118, md5=2b91e655994d798f48fd47e852c61926
Unknown Frame: size=15996, net_delay=106, decode_delay=2, encode_delay=10, total_delay=118, md5=6388757cf32898301d1e272aa3b9f947
Unknown Frame: size=12385, net_delay=107, decode_delay=2, encode_delay=9, total_delay=118, md5=e565d513b058eddd0c623e46067419ec
Unknown Frame: size=13010, net_delay=109, decode_delay=2, encode_delay=8, total_delay=119, md5=a939569851fd6d04f7cc4871710e6ad6
Unknown Frame: size=11877, net_delay=107, decode_delay=2, encode_delay=8, total_delay=117, md5=db12a5035e50f903cb3c84e6a0b2215b
Unknown Frame: size=16205, net_delay=106, decode_delay=3, encode_delay=9, total_delay=118, md5=1dfe930b36f0ea43f8771636c32ccab5
Unknown Frame: size=16236, net_delay=105, decode_delay=2, encode_delay=10, total_delay=117, md5=1279b117a3ca09cb26728d42ef5a4bd4
Unknown Frame: size=16838, net_delay=104, decode_delay=3, encode_delay=10, total_delay=117, md5=2946b35922b4d5ff2fc94f6fecf6e0e2
Unknown Frame: size=16466, net_delay=104, decode_delay=2, encode_delay=10, total_delay=116, md5=1a12181ed9ffefda049558986a839ccf
Unknown Frame: size=12355, net_delay=103, decode_delay=2, encode_delay=9, total_delay=114, md5=4e784c02e5fc9bada0b79d36e6d9aef8
Unknown Frame: size=12231, net_delay=105, decode_delay=2, encode_delay=8, total_delay=115, md5=dae875ea2551fc0fcd8543772c8b11a5
Unknown Frame: size=10133, net_delay=104, decode_delay=2, encode_delay=8, total_delay=114, md5=de139698bdc1ef921b4a6a19cfa92d0b
Unknown Frame: size=11141, net_delay=105, decode_delay=2, encode_delay=7, total_delay=114, md5=f5de9c40986c0647fec52ff68de80a68
Unknown Frame: size=15090, net_delay=103, decode_delay=3, encode_delay=8, total_delay=114, md5=f9a8125e3e9d4cd05bc06f63b06c4779
Unknown Frame: size=13024, net_delay=104, decode_delay=2, encode_delay=8, total_delay=114, md5=d80762cca1e0f824288e9b7cb77c7aa4
Unknown Frame: size=10230, net_delay=104, decode_delay=1, encode_delay=7, total_delay=112, md5=af8cab5f51a1ea630ac8f35bdc8f920e
Unknown Frame: size=20115, net_delay=101, decode_delay=3, encode_delay=10, total_delay=114, md5=905696ffa5683170286435d2f277f075
Unknown Frame: size=22564, net_delay=101, decode_delay=3, encode_delay=10, total_delay=114, md5=e1fb46ca5b0bc6b552a057e860d6c2cf
Unknown Frame: size=18134, net_delay=101, decode_delay=2, encode_delay=9, total_delay=112, md5=508d4680544b7a1cdcee73b7e33e4f71
Unknown Frame: size=17794, net_delay=94, decode_delay=3, encode_delay=17, total_delay=114, md5=68d0e90cae483c85ccca1ec11d595f26
Unknown Frame: size=15836, net_delay=100, decode_delay=2, encode_delay=9, total_delay=111, md5=cb3fccedff15af15efc9b66f7df2fc2e
Unknown Frame: size=14661, net_delay=102, decode_delay=2, encode_delay=8, total_delay=112, md5=673e3bfe70b1d2523d5c5c8a8a911e51
Unknown Frame: size=12454, net_delay=101, decode_delay=2, encode_delay=8, total_delay=111, md5=ab5edf4dbf7fa768cc1cfab496a97d0f
Unknown Frame: size=23017, net_delay=99, decode_delay=2, encode_delay=9, total_delay=110, md5=5cc41918e2901ae843a501106e903ad7
Unknown Frame: size=16460, net_delay=101, decode_delay=2, encode_delay=8, total_delay=111, md5=aeb8c1695dd303b2dcf2b6c13745275d
Unknown Frame: size=14356, net_delay=100, decode_delay=2, encode_delay=7, total_delay=109, md5=bb27608094c6ae1a4ba361de02f81919
Unknown Frame: size=13150, net_delay=100, decode_delay=1, encode_delay=7, total_delay=108, md5=b16fd6f53df053186cfa0796c005e5df
Unknown Frame: size=12892, net_delay=100, decode_delay=2, encode_delay=7, total_delay=109, md5=948a88ec3e5209736090b289909ed20d
Unknown Frame: size=17134, net_delay=99, decode_delay=3, encode_delay=9, total_delay=111, md5=1853c21e873c93863d66b5be5526fac1
