Frame not received: Unknown Frame: size=6876, net_delay=None, decode_delay=None, encode_delay=22, total_delay=None, md5=54d4c9e5b31026fe7057e4f8ed95db38
Unknown Frame: size=16014, net_delay=50, decode_delay=3, encode_delay=8, total_delay=61, md5=4acad6574ea5fbb5e98160119729a122
Unknown Frame: size=15925, net_delay=51, decode_delay=2, encode_delay=8, total_delay=61, md5=be701e2cb684ac759ff54eef69c44160
Unknown Frame: size=16230, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=63e438afc17a754b65cd749b6c6b9bbb
Unknown Frame: size=15769, net_delay=53, decode_delay=2, encode_delay=8, total_delay=63, md5=7caf92c56f91147f3d1f9a5221bf8549
Unknown Frame: size=16368, net_delay=54, decode_delay=3, encode_delay=8, total_delay=65, md5=85ace239734aef7a3b7be3ddc1830a32
Unknown Frame: size=16653, net_delay=55, decode_delay=2, encode_delay=8, total_delay=65, md5=0f83870e9987df22fed561a7c782ec56
Unknown Frame: size=15545, net_delay=55, decode_delay=2, encode_delay=8, total_delay=65, md5=40a8a7c62afaba92e051a9d34cbbba08
Unknown Frame: size=15329, net_delay=54, decode_delay=2, encode_delay=9, total_delay=65, md5=a80d0babbaece4af1eaf5a22e969367c
Unknown Frame: size=16297, net_delay=57, decode_delay=2, encode_delay=8, total_delay=67, md5=6f4dccdbb8ed5766e065ac6a9bd72163
Unknown Frame: size=15472, net_delay=56, decode_delay=2, encode_delay=8, total_delay=66, md5=c42107986925bc4d94b5292fd706f2b4
Unknown Frame: size=16645, net_delay=58, decode_delay=2, encode_delay=8, total_delay=68, md5=6fa7d866d00a2d3c0f191d67620eb620
Unknown Frame: size=16372, net_delay=57, decode_delay=2, encode_delay=8, total_delay=67, md5=8044c2daa4f8fb73f915d2b0b1ea45e1
Unknown Frame: size=14999, net_delay=56, decode_delay=2, encode_delay=8, total_delay=66, md5=2b6ca2fdcac5e54f3da113d4e31339a1
Unknown Frame: size=16436, net_delay=55, decode_delay=2, encode_delay=8, total_delay=65, md5=b69e2afcef454f58f4153c7b514631ef
Unknown Frame: size=16095, net_delay=56, decode_delay=2, encode_delay=8, total_delay=66, md5=596014642990eb86b228a9f22b923959
Unknown Frame: size=15482, net_delay=55, decode_delay=2, encode_delay=8, total_delay=65, md5=e77c1d0dbddedd796a9e6a88464694e1
Unknown Frame: size=16252, net_delay=54, decode_delay=2, encode_delay=8, total_delay=64, md5=32a873641eb3a4a793f1fddb3087ea84
Unknown Frame: size=13816, net_delay=55, decode_delay=2, encode_delay=7, total_delay=64, md5=42e43e5ca3eeb82ee644fea0eb519f2c
Unknown Frame: size=14185, net_delay=54, decode_delay=2, encode_delay=9, total_delay=65, md5=ba6a8df56721c799dd233e28093b6bda
Unknown Frame: size=12764, net_delay=54, decode_delay=2, encode_delay=7, total_delay=63, md5=8ce2b42dc756882394d5d54827256c45
Unknown Frame: size=12560, net_delay=52, decode_delay=2, encode_delay=8, total_delay=62, md5=cd9677356aa9553ba410cf9f89497d9e
Unknown Frame: size=13384, net_delay=52, decode_delay=2, encode_delay=8, total_delay=62, md5=c445f91e47c289c624cc1f24c54beab0
Unknown Frame: size=13681, net_delay=51, decode_delay=3, encode_delay=8, total_delay=62, md5=d0b7fc266a44f603e2f7a626a7e6b186
Unknown Frame: size=13629, net_delay=54, decode_delay=2, encode_delay=7, total_delay=63, md5=05498d3c151cebbd916f1a9acdca3e3d
Unknown Frame: size=15034, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=0e2ec362d09694043d86a1739f162742
Unknown Frame: size=13333, net_delay=52, decode_delay=2, encode_delay=8, total_delay=62, md5=54f54df0cff4258863f987b46281fd04
Unknown Frame: size=13421, net_delay=51, decode_delay=2, encode_delay=7, total_delay=60, md5=f87880fd19a9a1e8a0ff13777612b854
Unknown Frame: size=14087, net_delay=51, decode_delay=2, encode_delay=8, total_delay=61, md5=d2df4c224046b4c84c4f719c37b5b30b
Unknown Frame: size=14324, net_delay=50, decode_delay=3, encode_delay=8, total_delay=61, md5=789f8de9109aa28dadb6699d40514270
Unknown Frame: size=13883, net_delay=51, decode_delay=2, encode_delay=7, total_delay=60, md5=aa05b5ae0766fc526826bef948b8c8e6
Unknown Frame: size=14901, net_delay=50, decode_delay=2, encode_delay=8, total_delay=60, md5=641b6ca79f7667b9afe16c5a475a506b
Unknown Frame: size=15183, net_delay=50, decode_delay=2, encode_delay=8, total_delay=60, md5=8236c1392d2ec3cc2533479c5fdbc7fb
Unknown Frame: size=15626, net_delay=49, decode_delay=2, encode_delay=8, total_delay=59, md5=8cc8351c9b775e2fcc59eb8f3d9657af
Unknown Frame: size=13571, net_delay=49, decode_delay=2, encode_delay=8, total_delay=59, md5=e6c2ffebb2c161ee0f3e06b8fa3aebb2
Unknown Frame: size=14612, net_delay=50, decode_delay=2, encode_delay=8, total_delay=60, md5=a1fb4eee9574c5e6a5b545232d43f24b
Unknown Frame: size=13044, net_delay=48, decode_delay=2, encode_delay=8, total_delay=58, md5=28a6ae326524ed2bf5e87499b0cb3b7e
Unknown Frame: size=13497, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=f409d01d6379d28b127637cf76334db3
Unknown Frame: size=15595, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=597c8b3fda091e0442d410e4e022a3dc
Unknown Frame: size=15642, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=eed7face6b9f3be0b81bccec941f5286
Unknown Frame: size=13711, net_delay=48, decode_delay=2, encode_delay=8, total_delay=58, md5=a8c30922f16298d664047206980a5c8c
Unknown Frame: size=15079, net_delay=48, decode_delay=2, encode_delay=8, total_delay=58, md5=eb338b10a49862c0768258123c07b9c7
Unknown Frame: size=14725, net_delay=48, decode_delay=2, encode_delay=8, total_delay=58, md5=e74e91c6b3c99bcd2b80ab1dc7ab62b1
Unknown Frame: size=16312, net_delay=47, decode_delay=2, encode_delay=9, total_delay=58, md5=a52b48487ebef17d01c1c34ad9e0aa19
Unknown Frame: size=15160, net_delay=46, decode_delay=2, encode_delay=10, total_delay=58, md5=777a03b52bf61f2b744c1814391468fd
Unknown Frame: size=15960, net_delay=47, decode_delay=2, encode_delay=10, total_delay=59, md5=d1622410a965b6e96be1e802e5138da5
Unknown Frame: size=14909, net_delay=46, decode_delay=2, encode_delay=9, total_delay=57, md5=51d34b4506784e383a13769631c5fcce
Unknown Frame: size=16471, net_delay=47, decode_delay=2, encode_delay=9, total_delay=58, md5=a2211258e1a2cc727e8143b68b840e9c
Unknown Frame: size=14970, net_delay=46, decode_delay=2, encode_delay=9, total_delay=57, md5=41920305560aee5bf0c1ec8933a618df
Unknown Frame: size=16210, net_delay=44, decode_delay=3, encode_delay=10, total_delay=57, md5=f1d39f3f74efe38ba1d8be655af4d0ff
Unknown Frame: size=15192, net_delay=46, decode_delay=2, encode_delay=9, total_delay=57, md5=3f42fc2889739c89f3c29c53035da62e
Unknown Frame: size=15043, net_delay=47, decode_delay=2, encode_delay=10, total_delay=59, md5=a3fbac6674969f9ae1eb705b245c702d
Unknown Frame: size=15184, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=ae3381b9eadd863b6b7b553e900cf4b7
Unknown Frame: size=14761, net_delay=46, decode_delay=2, encode_delay=8, total_delay=56, md5=75962ceb78c5c1c0a2b2f54f1a1cdf64
Unknown Frame: size=15836, net_delay=46, decode_delay=2, encode_delay=10, total_delay=58, md5=3821f36d3d08b25f033bde43e0f7f27d
Unknown Frame: size=15164, net_delay=45, decode_delay=3, encode_delay=9, total_delay=57, md5=82918b8483b4dd6e17540820677bcf13
Unknown Frame: size=15099, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=a0b6004674e8152a4ed50b23094aff67
Unknown Frame: size=16059, net_delay=46, decode_delay=2, encode_delay=9, total_delay=57, md5=a3fd7d840cc2776cee6468839d171f57
Unknown Frame: size=15908, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=231a50dc764a8c8a65ae6e66587d585f
Unknown Frame: size=17121, net_delay=41, decode_delay=2, encode_delay=14, total_delay=57, md5=4a2e567f3a05c2f4da8c2e5d77b50078
Unknown Frame: size=16413, net_delay=46, decode_delay=3, encode_delay=9, total_delay=58, md5=ace696d5eb5ee65c0bffa9a3a434910b
Unknown Frame: size=16273, net_delay=45, decode_delay=2, encode_delay=9, total_delay=56, md5=f5f3ff4088bedb1f28bb48ae119d02da
Unknown Frame: size=15203, net_delay=46, decode_delay=2, encode_delay=8, total_delay=56, md5=e567849596bc3f6c7da0232cc0a93efb
Unknown Frame: size=15774, net_delay=45, decode_delay=2, encode_delay=9, total_delay=56, md5=e47c8c310c0a8f0956e58b542b8466db
Unknown Frame: size=17173, net_delay=46, decode_delay=2, encode_delay=9, total_delay=57, md5=7579e40b304e71d7dfbf981299eb0ee4
Unknown Frame: size=16003, net_delay=48, decode_delay=2, encode_delay=8, total_delay=58, md5=7f2367a0b61aa70c3c59e1bcb7763a60
Unknown Frame: size=15329, net_delay=48, decode_delay=2, encode_delay=7, total_delay=57, md5=47e8d150676315a3e012768637b2e2bd
Unknown Frame: size=17007, net_delay=45, decode_delay=2, encode_delay=10, total_delay=57, md5=f9c89ee14569b65e361bc8a746dfe2a9
Unknown Frame: size=16278, net_delay=44, decode_delay=2, encode_delay=10, total_delay=56, md5=e38968230ac0afdedebfe9f23a99aef1
Unknown Frame: size=15804, net_delay=45, decode_delay=2, encode_delay=9, total_delay=56, md5=9052d1a8445581524ecd62e81abbdb2d
Unknown Frame: size=16497, net_delay=46, decode_delay=2, encode_delay=10, total_delay=58, md5=5440cc88f73fcbafdf01dc6c98fa5019
Unknown Frame: size=16693, net_delay=45, decode_delay=3, encode_delay=9, total_delay=57, md5=9eccf93447e1e93168bd8166f9d58906
Unknown Frame: size=15930, net_delay=46, decode_delay=2, encode_delay=8, total_delay=56, md5=2cd5ef4418d00ee79a1975445aece255
Unknown Frame: size=18982, net_delay=45, decode_delay=3, encode_delay=9, total_delay=57, md5=4e64fca102eaf4ca8663b72ee80fb3d3
Unknown Frame: size=20582, net_delay=46, decode_delay=2, encode_delay=10, total_delay=58, md5=d6ec6624d8b872ae69bef8a67b5a7b93
Unknown Frame: size=19105, net_delay=47, decode_delay=3, encode_delay=9, total_delay=59, md5=89f4d859da46f02ec8d49eb6ec15c469
Unknown Frame: size=20437, net_delay=47, decode_delay=2, encode_delay=10, total_delay=59, md5=6d1c066e870344680ee19b30ac593856
Unknown Frame: size=20664, net_delay=46, decode_delay=3, encode_delay=11, total_delay=60, md5=796e556b9d31dd0cd1934d6fa301b7c2
Unknown Frame: size=18929, net_delay=46, decode_delay=4, encode_delay=11, total_delay=61, md5=81a282690c1ccbdebf23720010697923
Unknown Frame: size=19840, net_delay=45, decode_delay=3, encode_delay=12, total_delay=60, md5=fd07df528b98c2c86f143094ce82644f
Unknown Frame: size=19185, net_delay=48, decode_delay=2, encode_delay=11, total_delay=61, md5=2aa11a45e1cc33c85bf8a5a53e90e23f
Unknown Frame: size=19604, net_delay=49, decode_delay=2, encode_delay=11, total_delay=62, md5=460c7ad4440a255fd8e084fd1827a038
Unknown Frame: size=19557, net_delay=49, decode_delay=2, encode_delay=11, total_delay=62, md5=b018c5e0fe5a16bc2d58b3bf8a757244
Unknown Frame: size=19697, net_delay=49, decode_delay=3, encode_delay=11, total_delay=63, md5=401a798af8e8092cb8122c3d41c92025
Unknown Frame: size=19829, net_delay=51, decode_delay=2, encode_delay=11, total_delay=64, md5=e77fe73e8f7a86964fd3596dc608e275
Unknown Frame: size=20683, net_delay=50, decode_delay=3, encode_delay=11, total_delay=64, md5=aeefd3510e97b16600a602fb1a044750
Unknown Frame: size=20431, net_delay=50, decode_delay=3, encode_delay=11, total_delay=64, md5=80d1a79649fbaf4122f10353291050f0
Unknown Frame: size=20424, net_delay=49, decode_delay=3, encode_delay=11, total_delay=63, md5=8cf47f6e1dfa2a0ceb2092ce2320ccb7
Unknown Frame: size=20350, net_delay=51, decode_delay=3, encode_delay=11, total_delay=65, md5=67b9a41556074e3b76fcea508fabcf9b
Unknown Frame: size=20128, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=98eb77e5302cd4a2a0a19dfdc5c3c3d6
Unknown Frame: size=20600, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=9cd6eec055f61aa779e30ea6c0b161b6
Unknown Frame: size=20936, net_delay=52, decode_delay=2, encode_delay=10, total_delay=64, md5=b8b9c5de947f5dde6f2eac02f4dcaa2c
Unknown Frame: size=21673, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=a0b30cd28a0f3118636d62de46527ce6
Unknown Frame: size=20781, net_delay=54, decode_delay=2, encode_delay=9, total_delay=65, md5=0057596eed90e62acf4b4af9eb0d0d91
Unknown Frame: size=21489, net_delay=53, decode_delay=2, encode_delay=10, total_delay=65, md5=f0ab6413acb1ffa10cf75408b0926404
Unknown Frame: size=21790, net_delay=53, decode_delay=2, encode_delay=10, total_delay=65, md5=dcf104c8e3337ec2c3aeace836e1208e
Unknown Frame: size=20707, net_delay=52, decode_delay=3, encode_delay=10, total_delay=65, md5=dcf24c0a926139e88a31ba264cb3dc25
Unknown Frame: size=22437, net_delay=51, decode_delay=3, encode_delay=11, total_delay=65, md5=17c50db509abaf3cbf42d9de087abdf4
Unknown Frame: size=20499, net_delay=54, decode_delay=2, encode_delay=10, total_delay=66, md5=f74a25e266d7808b0075c3e98038f0ba
Unknown Frame: size=21915, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=3b2b4f3d1e688fef87d6a28aac751f12
Unknown Frame: size=22513, net_delay=54, decode_delay=2, encode_delay=11, total_delay=67, md5=96d18603632269e53338d23f081c66c9
Unknown Frame: size=22605, net_delay=53, decode_delay=3, encode_delay=11, total_delay=67, md5=a70fb07aa9e4229804a42fa680e9c4ce
Unknown Frame: size=23158, net_delay=54, decode_delay=2, encode_delay=11, total_delay=67, md5=86646d25d6ceea6decbca369822a42d8
Unknown Frame: size=23108, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=95834900c9c6b86f4f9e2c70dfe5d39e
Unknown Frame: size=23006, net_delay=54, decode_delay=3, encode_delay=11, total_delay=68, md5=92c4e4162ccc3d2525e88c7acf6e51d5
Unknown Frame: size=20752, net_delay=55, decode_delay=2, encode_delay=10, total_delay=67, md5=aebc8152a091fb75685abf88adf579f1
Unknown Frame: size=21070, net_delay=54, decode_delay=3, encode_delay=10, total_delay=67, md5=219ca17236b3924e12d77621aeb9236e
Unknown Frame: size=23017, net_delay=53, decode_delay=4, encode_delay=11, total_delay=68, md5=233d0747c49e40329610fcea4a920c20
Unknown Frame: size=20640, net_delay=54, decode_delay=3, encode_delay=10, total_delay=67, md5=86b2d8b4ec16d9c798cfeda20aab36ab
Unknown Frame: size=20794, net_delay=54, decode_delay=3, encode_delay=10, total_delay=67, md5=ca733dcd98171a82361c111cd0d1550e
Unknown Frame: size=22681, net_delay=52, decode_delay=3, encode_delay=12, total_delay=67, md5=88779b2d6fcecc11b09ba35d63840786
Unknown Frame: size=21758, net_delay=52, decode_delay=3, encode_delay=13, total_delay=68, md5=27a8c6292c6909f4d96a2c07d2991aa1
Unknown Frame: size=22815, net_delay=53, decode_delay=3, encode_delay=11, total_delay=67, md5=2556014b7a047a52125f5354b83f23f4
Unknown Frame: size=23944, net_delay=54, decode_delay=3, encode_delay=11, total_delay=68, md5=416df6b123fdac0212c2dd7bfa885100
Unknown Frame: size=22694, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=36df7dcc8d5fc687473b73ed049d4897
Unknown Frame: size=23132, net_delay=54, decode_delay=3, encode_delay=12, total_delay=69, md5=f3a037e1b3bdb4c01da0c9122fad11d5
Unknown Frame: size=21634, net_delay=54, decode_delay=3, encode_delay=12, total_delay=69, md5=c534570fcd38b1986f68fa2319a525ec
Unknown Frame: size=21590, net_delay=54, decode_delay=3, encode_delay=12, total_delay=69, md5=fab68a72fd855ccbf87d287a96a037c6
Unknown Frame: size=22649, net_delay=53, decode_delay=3, encode_delay=13, total_delay=69, md5=f8746e3bc78ccf1646ec16757d5a29a3
Unknown Frame: size=21907, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=08c577b455728a250fa5ba4e6f8b1d49
Unknown Frame: size=22289, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=b0437f46fcae49eb6417b28c74661d5f
Unknown Frame: size=22285, net_delay=56, decode_delay=2, encode_delay=11, total_delay=69, md5=9cc3adf9cb83284f82b6aa1d5cbc1da0
Unknown Frame: size=22270, net_delay=50, decode_delay=3, encode_delay=15, total_delay=68, md5=e12b3575be26fd39d2f0375469ad7ad2
Unknown Frame: size=23873, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=d6a631a866affae55f119c42c8b186b4
Unknown Frame: size=24091, net_delay=53, decode_delay=2, encode_delay=13, total_delay=68, md5=fd55c647d9f20c1bbc994b3c08fc1cb3
Unknown Frame: size=21368, net_delay=54, decode_delay=2, encode_delay=11, total_delay=67, md5=ba98df6ad5aa130ba9739bc75ff975c9
Unknown Frame: size=21932, net_delay=56, decode_delay=2, encode_delay=10, total_delay=68, md5=1973bff2bcc83b4071ed227a9dcf57c0
Unknown Frame: size=22450, net_delay=54, decode_delay=3, encode_delay=11, total_delay=68, md5=f8d33f7ec44b46366c938c727777e1d8
Unknown Frame: size=24309, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=64ed16f47473068886c44f388af90ae2
Unknown Frame: size=21588, net_delay=56, decode_delay=3, encode_delay=10, total_delay=69, md5=52675f6abefb532ef77883f3528f1c5a
Unknown Frame: size=22190, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=c8d2d696d7dffec406ab181ffa73409e
Unknown Frame: size=22263, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=5541525947bf88b7ea9670f4e1a16af9
Unknown Frame: size=23806, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=206b0eeef43a54aa519aaccf28eb025f
Unknown Frame: size=24256, net_delay=54, decode_delay=2, encode_delay=11, total_delay=67, md5=988bda0a9afc477cd815a1cef0fff7e3
Unknown Frame: size=22829, net_delay=55, decode_delay=3, encode_delay=10, total_delay=68, md5=decb58f7d1392c67c52e27caf013220d
Unknown Frame: size=22521, net_delay=55, decode_delay=2, encode_delay=10, total_delay=67, md5=58393bdbb6ff52c0c4946b626eed2a5f
Unknown Frame: size=22359, net_delay=56, decode_delay=2, encode_delay=10, total_delay=68, md5=b753f6dd2879a7377a59485c1689c184
Unknown Frame: size=22986, net_delay=56, decode_delay=2, encode_delay=10, total_delay=68, md5=d586a034001336ebe3ef5185a35516ef
Unknown Frame: size=22934, net_delay=55, decode_delay=2, encode_delay=11, total_delay=68, md5=f3af84b554cee2e80b0539b097ce63c5
Unknown Frame: size=24615, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=abb4d35426ee6df97380cbd6c8a59f3a
Unknown Frame: size=25707, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=e3261090cd672776f69d61831018922e
Unknown Frame: size=23393, net_delay=53, decode_delay=3, encode_delay=12, total_delay=68, md5=d84c6525bc743dbfa58f2f8e539219bc
Unknown Frame: size=22938, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=8a76200cab3f9964456c48ccdc809bed
Unknown Frame: size=23258, net_delay=55, decode_delay=3, encode_delay=12, total_delay=70, md5=0eb4f016cd2ade3325631121548d32b7
Unknown Frame: size=23422, net_delay=57, decode_delay=3, encode_delay=11, total_delay=71, md5=72cc2a864eb1c546c16a816e4fe7acf7
Unknown Frame: size=23419, net_delay=57, decode_delay=3, encode_delay=11, total_delay=71, md5=4fa93bfa3b3640b632bd19d136896994
Unknown Frame: size=23187, net_delay=58, decode_delay=2, encode_delay=10, total_delay=70, md5=27a9d0978aafe1bed5b3c6d7fae8ec1a
Unknown Frame: size=25289, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=21a140aed25575b34b2372c332c48037
Unknown Frame: size=24355, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=b34d934f61fef1a8b43db249908cbe61
Unknown Frame: size=24400, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=a0b39fffb26125cb389f238f9bc793dd
Unknown Frame: size=24022, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=5d945c167e6cc2b7b3c4ade0309f33b1
Unknown Frame: size=25338, net_delay=57, decode_delay=3, encode_delay=10, total_delay=70, md5=1fe2a16873829eb9356171305d3eedbb
Unknown Frame: size=24285, net_delay=56, decode_delay=2, encode_delay=11, total_delay=69, md5=9ed3648a2c552eae53537b4923830f2f
Unknown Frame: size=24611, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=734bb7a7ba1e6f728895cb3934ddab68
Unknown Frame: size=24609, net_delay=56, decode_delay=3, encode_delay=10, total_delay=69, md5=e956c91c23d4616bde5f03001082179f
Unknown Frame: size=23767, net_delay=56, decode_delay=3, encode_delay=10, total_delay=69, md5=79a08d8300f25f218fee3ecdd51c54cb
Unknown Frame: size=25183, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=3f43c869d305a8893b81f8e8153a8ae7
Unknown Frame: size=24513, net_delay=56, decode_delay=3, encode_delay=10, total_delay=69, md5=a7c05872131da1b93e76b982e51adfa8
Unknown Frame: size=23302, net_delay=57, decode_delay=3, encode_delay=9, total_delay=69, md5=3b902adaf34420b42fb668c0c6b7766d
Unknown Frame: size=24037, net_delay=57, decode_delay=3, encode_delay=9, total_delay=69, md5=724f6a9b4bced11f21332caf6be94363
Unknown Frame: size=25650, net_delay=54, decode_delay=3, encode_delay=11, total_delay=68, md5=9267b9ebf34fa0717d5312521d20f24e
Unknown Frame: size=25707, net_delay=55, decode_delay=3, encode_delay=11, total_delay=69, md5=5834542f65919fd6b3deb3727e96b379
Unknown Frame: size=26140, net_delay=54, decode_delay=3, encode_delay=12, total_delay=69, md5=101355c6fcb01a74c5b89f6d9c5e209c
Unknown Frame: size=25631, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=36375d63b4c62ba3f88c2432b7584c3e
Unknown Frame: size=24730, net_delay=57, decode_delay=2, encode_delay=10, total_delay=69, md5=2cb57f3674126d46d435c90edcef2c02
Unknown Frame: size=24677, net_delay=56, decode_delay=3, encode_delay=10, total_delay=69, md5=7eabe55e84f247804bf300bb6f592969
Unknown Frame: size=24942, net_delay=56, decode_delay=3, encode_delay=11, total_delay=70, md5=83f837b1cac7e383362a3e9338525074
Unknown Frame: size=19167, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=09c3d374ebb2066f14d2a8549b58ba98
Unknown Frame: size=19620, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=b09f35924b144fa900d0cf2b68df6144
Unknown Frame: size=20669, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=40e9b9cae5db2e7bf622d304e1d87bc5
Unknown Frame: size=19615, net_delay=58, decode_delay=2, encode_delay=8, total_delay=68, md5=c8a1c8ed4c2c1c40268ef51147887fbc
Unknown Frame: size=20614, net_delay=58, decode_delay=2, encode_delay=10, total_delay=70, md5=4f39c74dbb4d2db2597e17d782039171
Unknown Frame: size=18395, net_delay=56, decode_delay=2, encode_delay=10, total_delay=68, md5=f0021b1458ac33ce660f7d0466fc7673
Unknown Frame: size=18095, net_delay=55, decode_delay=2, encode_delay=10, total_delay=67, md5=1f4a8f854ef716f4445cf5d66f65291d
Unknown Frame: size=20236, net_delay=56, decode_delay=2, encode_delay=10, total_delay=68, md5=5409b84258994979c93118125d0793ee
Unknown Frame: size=19140, net_delay=57, decode_delay=3, encode_delay=9, total_delay=69, md5=0ff51aec770d463508f8974dcb482231
Unknown Frame: size=19209, net_delay=57, decode_delay=2, encode_delay=9, total_delay=68, md5=e3863d47f4da980bd37b4bd9c47f9772
Unknown Frame: size=18940, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=f4a19e134ef8f3c7d446e685fdc2a783
Unknown Frame: size=20521, net_delay=57, decode_delay=3, encode_delay=9, total_delay=69, md5=a4e4e6cc513a31e73944cd944b91648b
Unknown Frame: size=18160, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=7a4c2c2dac9d0f35b031d34408c6d3ca
Unknown Frame: size=20241, net_delay=59, decode_delay=3, encode_delay=8, total_delay=70, md5=5e0049e0adfd8cda69ff9f6164523491
Unknown Frame: size=17764, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=7b0990fdbaeefe2b053b6c99bd85b023
Unknown Frame: size=18490, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=e1431b423389d539b996254d4d32f8ce
Unknown Frame: size=19934, net_delay=58, decode_delay=2, encode_delay=9, total_delay=69, md5=808d42272c98cb6a7e28910bd9a32e05
Unknown Frame: size=20596, net_delay=58, decode_delay=3, encode_delay=10, total_delay=71, md5=e2c059664ee3eacd5cc6057d30ec9fc4
