Frame not received: Unknown Frame: size=1216, net_delay=None, decode_delay=None, encode_delay=31, total_delay=None, md5=993abbc10d44c5d4f3de68feb71fd377
Unknown Frame: size=17066, net_delay=37, decode_delay=4, encode_delay=11, total_delay=52, md5=e6a2779a86e06b29b1f48a8d18bf03bf
Unknown Frame: size=17082, net_delay=39, decode_delay=3, encode_delay=10, total_delay=52, md5=4e95aa491c92bdcd1366c0b2c6c52267
Unknown Frame: size=17113, net_delay=39, decode_delay=3, encode_delay=11, total_delay=53, md5=64955ca385c27b0c95a0094fe9417ed4
Unknown Frame: size=16435, net_delay=39, decode_delay=3, encode_delay=12, total_delay=54, md5=84da365c31d1c3308e23c48deb584a77
Unknown Frame: size=16080, net_delay=40, decode_delay=3, encode_delay=12, total_delay=55, md5=08cecc0558e0bc5add9caf1fb34bcd8e
Unknown Frame: size=15591, net_delay=42, decode_delay=4, encode_delay=9, total_delay=55, md5=5fd5185f4d84e67f8d968b1e9aa82800
Unknown Frame: size=15814, net_delay=43, decode_delay=3, encode_delay=9, total_delay=55, md5=9394914f5f8733b12f95f8c05480ccca
Unknown Frame: size=16236, net_delay=41, decode_delay=3, encode_delay=10, total_delay=54, md5=4e3cfd879cdf62b278f94d1dc1a74831
Unknown Frame: size=17721, net_delay=43, decode_delay=3, encode_delay=11, total_delay=57, md5=be207d0ed3d22121f8e13fa535be0b60
Unknown Frame: size=17309, net_delay=44, decode_delay=4, encode_delay=9, total_delay=57, md5=e5647b049bc3d35d5635606ce87104e5
Unknown Frame: size=16771, net_delay=45, decode_delay=3, encode_delay=9, total_delay=57, md5=2464f70d18aa4dabeeb663d2e7da7cb3
Unknown Frame: size=16386, net_delay=47, decode_delay=3, encode_delay=9, total_delay=59, md5=91b08b22fd225bd648d4ebf3d084f9ae
Unknown Frame: size=17727, net_delay=47, decode_delay=3, encode_delay=9, total_delay=59, md5=cfb1440904da485b76e33e58b76b80e2
Unknown Frame: size=17083, net_delay=48, decode_delay=3, encode_delay=9, total_delay=60, md5=849f818dc013411757b22e500a6e5694
Unknown Frame: size=16780, net_delay=47, decode_delay=4, encode_delay=10, total_delay=61, md5=cebfef430adf6df8ccfe990a48865c0c
Unknown Frame: size=15950, net_delay=49, decode_delay=3, encode_delay=8, total_delay=60, md5=b5bb5b89e48d17987784f9095e7e3933
Unknown Frame: size=16804, net_delay=49, decode_delay=3, encode_delay=9, total_delay=61, md5=5c57f549744b54498ad066ac7250cdca
Unknown Frame: size=18587, net_delay=48, decode_delay=3, encode_delay=10, total_delay=61, md5=6b55cfa94cb7c8e19afbf8836f8b51ad
Unknown Frame: size=17437, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=d765d457d2d692fabbeafce429ad6119
Unknown Frame: size=17587, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=19103fcf63d9dc1ed45c7dfaa1cb646f
Unknown Frame: size=18582, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=b82c371ab41ac05c65fcf8275185e6d1
Unknown Frame: size=18292, net_delay=52, decode_delay=3, encode_delay=9, total_delay=64, md5=16e24cffc96e3bc20999c4dd9532185e
Unknown Frame: size=18946, net_delay=51, decode_delay=4, encode_delay=9, total_delay=64, md5=15f091916146bbf2bd3aab7d23934a27
Unknown Frame: size=18358, net_delay=51, decode_delay=4, encode_delay=9, total_delay=64, md5=474f37344c1769887d7b9acc9c33bbf2
Unknown Frame: size=19180, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=988a429ba0bf65804a7c98f6d4e4f054
Unknown Frame: size=18736, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=5f63a4ca6ef27470c60d5c5d13b4763d
Unknown Frame: size=20236, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=a0e322852252c100ab2a7bd4b50e9238
Unknown Frame: size=19427, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=6fd7463ab6bd5c97d5c66ba10a4fa77f
Unknown Frame: size=18528, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=09aac612886a232c26b5dda02b2704b6
Unknown Frame: size=19191, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=b9deea7671c6ed18718cf9de349875bb
Unknown Frame: size=19076, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=9666aa4928b68ca1971ce7c0d39de3cb
Unknown Frame: size=19402, net_delay=51, decode_delay=3, encode_delay=10, total_delay=64, md5=a9c98a8c18edc34b21f65b7e24be5ce7
Unknown Frame: size=19697, net_delay=51, decode_delay=4, encode_delay=9, total_delay=64, md5=eb7d63ad31ed0998fde3694d71e8ca9b
Unknown Frame: size=20178, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=b6389b9ac52c62ddc1669392d34123cc
Unknown Frame: size=20463, net_delay=50, decode_delay=4, encode_delay=10, total_delay=64, md5=fddc22c1944a2d960624a8b546d3b878
Unknown Frame: size=19912, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=0501bf7bb2e34fea862ba126315b8154
Unknown Frame: size=19381, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=4b49d4e47f05c626b1cce5a4e3b4d6a5
Unknown Frame: size=20305, net_delay=50, decode_delay=4, encode_delay=9, total_delay=63, md5=464d9c88b55d411c15967abdfdcfe1e0
Unknown Frame: size=19486, net_delay=51, decode_delay=3, encode_delay=8, total_delay=62, md5=3b456b4fcc0ef51de3fd8f7c2b5a9dd6
Unknown Frame: size=20811, net_delay=50, decode_delay=4, encode_delay=9, total_delay=63, md5=670d363458109e557d2c8a6e60747b94
Unknown Frame: size=21977, net_delay=49, decode_delay=3, encode_delay=10, total_delay=62, md5=6c73a677fcf0b7f671bed4eac7e00a02
Unknown Frame: size=19509, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=cbfc5249a02e6cabe2a34ce268e420d4
Unknown Frame: size=19916, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=4666c54c2d93ac2b530386b2edf25ac5
Unknown Frame: size=20104, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=860a13b21d52cfc7aa2296e659843403
Unknown Frame: size=21467, net_delay=52, decode_delay=3, encode_delay=9, total_delay=64, md5=ef37e2dde52a89c2fa08f1cf7cb52e9d
Unknown Frame: size=18845, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=c800e3dbe1efc6a24a1643328d89ae74
Unknown Frame: size=22691, net_delay=50, decode_delay=4, encode_delay=10, total_delay=64, md5=ebe95407ed9e89d53878c49f23a9c656
Unknown Frame: size=20375, net_delay=51, decode_delay=3, encode_delay=9, total_delay=63, md5=0c1ab905b1f56e2e0e040d6971f076fb
Unknown Frame: size=19624, net_delay=51, decode_delay=4, encode_delay=9, total_delay=64, md5=893f819d944ce8ccf060a3d1b31ba541
Unknown Frame: size=21345, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=da1f63611a40a9c548a8b5daab51e312
Unknown Frame: size=21033, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=66533640bbcd6de6e509e35d8c091cc8
Unknown Frame: size=20677, net_delay=45, decode_delay=3, encode_delay=15, total_delay=63, md5=7332b6d133e5f1fc1e375871112fb40b
Unknown Frame: size=22264, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=b770b595ed67cbad35902a56020de879
Unknown Frame: size=23542, net_delay=48, decode_delay=4, encode_delay=10, total_delay=62, md5=7322787626abefba5eb1295bdde9ad4b
Unknown Frame: size=23038, net_delay=50, decode_delay=4, encode_delay=9, total_delay=63, md5=469a3a1a52e4cf1845af4f71681bf811
Unknown Frame: size=19553, net_delay=50, decode_delay=4, encode_delay=10, total_delay=64, md5=7ae5cf35952924889e0d3a962c000dbc
Unknown Frame: size=20839, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=311123d982bff745c2409a8f16e5634c
Unknown Frame: size=19618, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=2171a90cf00a733a434ad70a7a401a99
Unknown Frame: size=22704, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=0e845440fb31b4ba352dae307dfced80
Unknown Frame: size=23482, net_delay=50, decode_delay=4, encode_delay=9, total_delay=63, md5=8799c3866c0e2d5e276c2be3e30640ab
Unknown Frame: size=21750, net_delay=50, decode_delay=4, encode_delay=9, total_delay=63, md5=fbbbbdd14de8161f547840869a3935c7
Unknown Frame: size=21738, net_delay=50, decode_delay=3, encode_delay=9, total_delay=62, md5=52127b74594dd42c8afaee8042570d50
Unknown Frame: size=20374, net_delay=50, decode_delay=3, encode_delay=10, total_delay=63, md5=75f2374c035587076d1c113f11722dcd
Unknown Frame: size=20818, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=3fae0245bdb4c44911b0f17761262582
Unknown Frame: size=23870, net_delay=48, decode_delay=5, encode_delay=11, total_delay=64, md5=4b40fefb1314a52a63247c8447e34d03
Unknown Frame: size=22216, net_delay=48, decode_delay=4, encode_delay=11, total_delay=63, md5=935e12645203c1588f9eb4aad37f572c
Unknown Frame: size=22542, net_delay=47, decode_delay=4, encode_delay=11, total_delay=62, md5=693cea96965c0fc8a1194ed3a3daea49
Unknown Frame: size=21581, net_delay=48, decode_delay=4, encode_delay=11, total_delay=63, md5=8145131af8ccaad7f368dc2d377f48af
Unknown Frame: size=23474, net_delay=49, decode_delay=5, encode_delay=11, total_delay=65, md5=b57c2f540f2ae1f28b383549b43ce3eb
Unknown Frame: size=22554, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=df1fa1599cc4770d08138137ad51f603
Unknown Frame: size=24336, net_delay=47, decode_delay=5, encode_delay=12, total_delay=64, md5=954f30c006adc46fee5a531fdd1ec755
Unknown Frame: size=22764, net_delay=49, decode_delay=4, encode_delay=11, total_delay=64, md5=c9e02ed83d36647d0c3d7e85c3072115
Unknown Frame: size=21933, net_delay=49, decode_delay=4, encode_delay=11, total_delay=64, md5=98de4783718a58789b674f1b3c43fae2
Unknown Frame: size=22456, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=1af8a62ed5394b608169f7274e4cebdd
Unknown Frame: size=21508, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=58d0d7293cde25238a8ae3e24f1e69f8
Unknown Frame: size=24353, net_delay=48, decode_delay=4, encode_delay=11, total_delay=63, md5=a3d3f5c6086dc7787f0716f4f5b8fcdc
Unknown Frame: size=22735, net_delay=50, decode_delay=4, encode_delay=10, total_delay=64, md5=95b7b34989a92136ff676be63149aa29
Unknown Frame: size=23610, net_delay=50, decode_delay=4, encode_delay=10, total_delay=64, md5=c52d20c35dc37e6d0783ded4b43ef08b
Unknown Frame: size=24242, net_delay=48, decode_delay=4, encode_delay=11, total_delay=63, md5=6ec7a4eba681b002a080278380389bc3
Unknown Frame: size=24018, net_delay=49, decode_delay=4, encode_delay=10, total_delay=63, md5=2a40e6c7129637254addcaab2015b636
Unknown Frame: size=25720, net_delay=48, decode_delay=5, encode_delay=11, total_delay=64, md5=e12aa7c62951b75111d820f94a2a4f17
Unknown Frame: size=24420, net_delay=51, decode_delay=4, encode_delay=10, total_delay=65, md5=741c5db730d221c79ddc3dd1194385af
Unknown Frame: size=24319, net_delay=50, decode_delay=4, encode_delay=11, total_delay=65, md5=3c9e76c5b72c4e2088641393f0d4cfde
Unknown Frame: size=23713, net_delay=51, decode_delay=4, encode_delay=10, total_delay=65, md5=8e3948baba5fc2534e1e4997eee58328
Unknown Frame: size=23476, net_delay=51, decode_delay=4, encode_delay=10, total_delay=65, md5=ea83a61d8a202683e30995137e4e0c62
Unknown Frame: size=25951, net_delay=50, decode_delay=4, encode_delay=11, total_delay=65, md5=36f96e094383f2761d481d49d47ba260
Unknown Frame: size=23645, net_delay=51, decode_delay=4, encode_delay=10, total_delay=65, md5=4464b01106e20ab63e26f7ce0aff90d6
Unknown Frame: size=23686, net_delay=52, decode_delay=4, encode_delay=10, total_delay=66, md5=b9f56a35a560e4bcd516f59835a99d21
Unknown Frame: size=26256, net_delay=49, decode_delay=4, encode_delay=12, total_delay=65, md5=96f63994aa6215d39d59e4ff8892d4c7
Unknown Frame: size=25000, net_delay=51, decode_delay=4, encode_delay=11, total_delay=66, md5=6b3d9d59871477df6d061f460025546b
Unknown Frame: size=24211, net_delay=51, decode_delay=4, encode_delay=11, total_delay=66, md5=e3c2c30d66e8b7566337cafdd05dcb03
Unknown Frame: size=25377, net_delay=51, decode_delay=5, encode_delay=11, total_delay=67, md5=864dcca6902506019fd03ac418d085ed
Unknown Frame: size=25057, net_delay=51, decode_delay=5, encode_delay=11, total_delay=67, md5=5424cc4cf447a07e9f4e467ac9a5cb45
Unknown Frame: size=24217, net_delay=51, decode_delay=4, encode_delay=11, total_delay=66, md5=62eea3d1478b75c657d14b1e693f50d4
Unknown Frame: size=23694, net_delay=50, decode_delay=4, encode_delay=11, total_delay=65, md5=69666e89a1df9b5abb85d1448426909f
Unknown Frame: size=26243, net_delay=50, decode_delay=4, encode_delay=11, total_delay=65, md5=ee5f65481ebae9d22763058d32d160fc
Unknown Frame: size=25109, net_delay=51, decode_delay=4, encode_delay=11, total_delay=66, md5=c90f91c760976c7ad49857a2a9c3de90
Unknown Frame: size=24979, net_delay=49, decode_delay=5, encode_delay=12, total_delay=66, md5=fad9bcfe87eb88b5b33ef5883ae980cf
Unknown Frame: size=27421, net_delay=49, decode_delay=5, encode_delay=13, total_delay=67, md5=65a3cb9939f42320926713306c3da1c6
Unknown Frame: size=24025, net_delay=49, decode_delay=4, encode_delay=13, total_delay=66, md5=a01015aa73da4dfe6592c7a2fa9aa82b
Unknown Frame: size=24586, net_delay=49, decode_delay=5, encode_delay=13, total_delay=67, md5=8019e5d4c7305b0ed65b776c9722ce7e
Unknown Frame: size=24953, net_delay=51, decode_delay=4, encode_delay=13, total_delay=68, md5=1c9bac2cc1757e3fe7784a5b738fe7f9
Unknown Frame: size=25208, net_delay=51, decode_delay=5, encode_delay=13, total_delay=69, md5=4ef2787c1f9d25920204ae30e26cccad
Unknown Frame: size=25068, net_delay=51, decode_delay=4, encode_delay=12, total_delay=67, md5=691d07c155d149ad0388a3ac5403affd
Unknown Frame: size=25000, net_delay=51, decode_delay=4, encode_delay=13, total_delay=68, md5=62b1dbd25488b8ed5ec86c67088736fa
Unknown Frame: size=26100, net_delay=50, decode_delay=4, encode_delay=13, total_delay=67, md5=55e5611d66f53aef741e62eed97a7887
Unknown Frame: size=25500, net_delay=54, decode_delay=5, encode_delay=11, total_delay=70, md5=e8a5cd8fbfc99e9005bee5cfc5086827
Unknown Frame: size=26155, net_delay=54, decode_delay=4, encode_delay=12, total_delay=70, md5=c0665351516d0b87b61e448092c45ab4
Unknown Frame: size=26910, net_delay=52, decode_delay=5, encode_delay=13, total_delay=70, md5=d06c9ee43a54ebec261c01ae63cbd6a7
Unknown Frame: size=25649, net_delay=52, decode_delay=4, encode_delay=12, total_delay=68, md5=403178a632b5f2ea257f51e9ca355419
Unknown Frame: size=25726, net_delay=52, decode_delay=5, encode_delay=11, total_delay=68, md5=8382eaf30c764c42d923b49f96906ba6
Unknown Frame: size=25475, net_delay=54, decode_delay=4, encode_delay=11, total_delay=69, md5=4aa12cb2fd5ae6ed0a87d9ceeac9861d
Unknown Frame: size=26499, net_delay=52, decode_delay=5, encode_delay=12, total_delay=69, md5=4c8d7c587b743bf7decd5ba939317cd7
Unknown Frame: size=26098, net_delay=53, decode_delay=4, encode_delay=11, total_delay=68, md5=90f5e4cb45deec930d0314910bb53ea6
Unknown Frame: size=27469, net_delay=52, decode_delay=5, encode_delay=12, total_delay=69, md5=71f178bee8120c4134a9168648e6f10d
Unknown Frame: size=26184, net_delay=53, decode_delay=4, encode_delay=12, total_delay=69, md5=8e99d9854fcca433903ca6b5fadfe16e
Unknown Frame: size=26333, net_delay=54, decode_delay=4, encode_delay=11, total_delay=69, md5=2e355d8b15981db9415deefcd92ad05f
Unknown Frame: size=29100, net_delay=52, decode_delay=5, encode_delay=12, total_delay=69, md5=80b9a4b226e9253f090932009ea3be14
Unknown Frame: size=28249, net_delay=53, decode_delay=5, encode_delay=12, total_delay=70, md5=05e85f5efb63515593206902df6b722d
Unknown Frame: size=26552, net_delay=53, decode_delay=4, encode_delay=12, total_delay=69, md5=693c26ddd0a0f203025e8c4c452d59a1
Unknown Frame: size=27621, net_delay=53, decode_delay=4, encode_delay=12, total_delay=69, md5=5af5506974c6ccc685d14dfb676ee94e
Unknown Frame: size=28939, net_delay=54, decode_delay=5, encode_delay=12, total_delay=71, md5=01951ecbe2f053793f101c7ded31421b
Unknown Frame: size=29058, net_delay=54, decode_delay=5, encode_delay=13, total_delay=72, md5=0733d785ed0d895674854e1614b0e03f
Unknown Frame: size=28799, net_delay=54, decode_delay=5, encode_delay=13, total_delay=72, md5=66523d7cef0c94a62dc9ab485e89406b
Unknown Frame: size=29463, net_delay=55, decode_delay=4, encode_delay=13, total_delay=72, md5=4e6d0d38bdc23837ef108408c19ab225
Unknown Frame: size=27721, net_delay=57, decode_delay=4, encode_delay=12, total_delay=73, md5=8608ed36c9c90430e869030148f9db05
Unknown Frame: size=25888, net_delay=57, decode_delay=4, encode_delay=12, total_delay=73, md5=72ee1aa8c7f08156c2d6721e6bbf3acb
Unknown Frame: size=25555, net_delay=56, decode_delay=4, encode_delay=12, total_delay=72, md5=aa826150899791b1070788da4e2bedd4
Unknown Frame: size=29283, net_delay=55, decode_delay=5, encode_delay=14, total_delay=74, md5=e2fdeacf5cf5c4a4c35ae6a2b2f864ec
Unknown Frame: size=26130, net_delay=57, decode_delay=4, encode_delay=13, total_delay=74, md5=c291b0a8f18c18537eb61a1aebdd4e01
Unknown Frame: size=26515, net_delay=55, decode_delay=5, encode_delay=13, total_delay=73, md5=640bdc48e7ee7e5cbfc2e1e2e61fb50c
Unknown Frame: size=28629, net_delay=54, decode_delay=5, encode_delay=14, total_delay=73, md5=c31d62f1f0f84453c7febb657d2a7faa
Unknown Frame: size=29307, net_delay=55, decode_delay=5, encode_delay=13, total_delay=73, md5=34f5224c244dd9922c191a1682d7384a
Unknown Frame: size=27041, net_delay=56, decode_delay=5, encode_delay=13, total_delay=74, md5=f3f387386619302acbe0ab5efa395ada
Unknown Frame: size=30148, net_delay=55, decode_delay=5, encode_delay=13, total_delay=73, md5=a4b741daf7f733847c222be0fe8c2e45
Unknown Frame: size=28833, net_delay=54, decode_delay=5, encode_delay=14, total_delay=73, md5=f3d6c25f329e12abda45c42dd20530a3
Unknown Frame: size=28231, net_delay=56, decode_delay=5, encode_delay=13, total_delay=74, md5=c4a38d68e46c056daccc67ee62ef3ce3
Unknown Frame: size=27694, net_delay=57, decode_delay=4, encode_delay=14, total_delay=75, md5=a0db41b1ec5b02c27ea17f09eacee33a
Unknown Frame: size=28361, net_delay=56, decode_delay=5, encode_delay=14, total_delay=75, md5=3c850eb063da6d1982a26356a88f6441
Unknown Frame: size=28296, net_delay=59, decode_delay=5, encode_delay=13, total_delay=77, md5=2da70ffa01eb173fc4ac122e36089aec
Unknown Frame: size=28984, net_delay=58, decode_delay=5, encode_delay=13, total_delay=76, md5=269a9e87c301903e8bd63fa7919c685e
Unknown Frame: size=28478, net_delay=60, decode_delay=5, encode_delay=12, total_delay=77, md5=0ff03a46c34a51745a527b141cb7c931
Unknown Frame: size=27712, net_delay=61, decode_delay=4, encode_delay=12, total_delay=77, md5=cb8ecb0bfb3f10b8ba81a56e4ca74bb1
Unknown Frame: size=29147, net_delay=61, decode_delay=5, encode_delay=12, total_delay=78, md5=74cf3f50c1c3b1c2d482cd9569877621
Unknown Frame: size=29303, net_delay=59, decode_delay=5, encode_delay=14, total_delay=78, md5=c3191e157bc92a15687cfa90db08d7e9
Unknown Frame: size=30877, net_delay=58, decode_delay=5, encode_delay=16, total_delay=79, md5=a3a27252d2292d999ab03da765de397c
Unknown Frame: size=26376, net_delay=62, decode_delay=4, encode_delay=13, total_delay=79, md5=bedc217aba2b2593429d4bf329424f8c
Unknown Frame: size=28312, net_delay=63, decode_delay=4, encode_delay=12, total_delay=79, md5=89272b76397532074c32c582e762cbc2
Unknown Frame: size=28933, net_delay=63, decode_delay=4, encode_delay=13, total_delay=80, md5=b063e3e28e46f5690d9f762533cc9343
Unknown Frame: size=30963, net_delay=68, decode_delay=5, encode_delay=13, total_delay=86, md5=53bca06e6982a2bba5263b446374048a
Unknown Frame: size=27113, net_delay=68, decode_delay=4, encode_delay=11, total_delay=83, md5=889d6700535a06a5574056b8d0caaca9
Unknown Frame: size=27790, net_delay=68, decode_delay=4, encode_delay=12, total_delay=84, md5=35b6fba31f7e0ecdd2f8e2f327bc2147
Unknown Frame: size=29534, net_delay=71, decode_delay=5, encode_delay=12, total_delay=88, md5=227a7dc165f541fb5304fb11d2270bce
Unknown Frame: size=29951, net_delay=74, decode_delay=4, encode_delay=12, total_delay=90, md5=22de6fe4a625742e3dc8986d46c0af19
Unknown Frame: size=30684, net_delay=76, decode_delay=5, encode_delay=12, total_delay=93, md5=532dedd0fab76a4ca7cebee4bda5ca41
Unknown Frame: size=29401, net_delay=81, decode_delay=4, encode_delay=11, total_delay=96, md5=fdcf2169f5bdfa8fd764af76e60673ff
Unknown Frame: size=28552, net_delay=82, decode_delay=4, encode_delay=12, total_delay=98, md5=291e120905ae5d28439bbcea48dfe19a
Unknown Frame: size=28479, net_delay=82, decode_delay=5, encode_delay=11, total_delay=98, md5=0addc3d6204a8d349974bce6f325bd11
Unknown Frame: size=23000, net_delay=78, decode_delay=4, encode_delay=10, total_delay=92, md5=cd63f57c19833adc41a27a693e9b02d6
Unknown Frame: size=24223, net_delay=74, decode_delay=4, encode_delay=11, total_delay=89, md5=ed30b5aee9d8534abc003d68d294643e
Unknown Frame: size=23847, net_delay=71, decode_delay=5, encode_delay=12, total_delay=88, md5=fbb574611d0b178fbc64a1a58acfe2bb
Unknown Frame: size=24932, net_delay=71, decode_delay=5, encode_delay=13, total_delay=89, md5=6569a9102b47cb05e94a715a4dabb433
Unknown Frame: size=23663, net_delay=72, decode_delay=4, encode_delay=13, total_delay=89, md5=b04ca0ea19ff2ed7ac75d7f82469524f
Unknown Frame: size=22290, net_delay=74, decode_delay=4, encode_delay=12, total_delay=90, md5=bc3e4da58a0691e8f4d754e42ed55b62
Unknown Frame: size=22311, net_delay=74, decode_delay=4, encode_delay=12, total_delay=90, md5=abcd807cdfc048d3c068aaace723e260
Unknown Frame: size=22605, net_delay=74, decode_delay=4, encode_delay=12, total_delay=90, md5=5025aa5bd54987ba00774594224da866
Unknown Frame: size=22015, net_delay=74, decode_delay=4, encode_delay=11, total_delay=89, md5=f4ac10e1707df48e62bf8fe85ceb6e1b
Unknown Frame: size=22812, net_delay=75, decode_delay=4, encode_delay=10, total_delay=89, md5=af5e3c2e2e1d6d762d8813d263fa623b
Unknown Frame: size=24159, net_delay=72, decode_delay=5, encode_delay=12, total_delay=89, md5=f508761c47d21986cba84873cf561da0
Unknown Frame: size=22722, net_delay=74, decode_delay=4, encode_delay=11, total_delay=89, md5=3f4a7bfdec8c45d2bdee74cfea86608e
Unknown Frame: size=22390, net_delay=74, decode_delay=4, encode_delay=11, total_delay=89, md5=e90d3fdcf604668d46d943d2c6e0f920
Unknown Frame: size=22316, net_delay=73, decode_delay=4, encode_delay=11, total_delay=88, md5=18bdce99c93911290005583712e4eac8
Unknown Frame: size=23413, net_delay=72, decode_delay=4, encode_delay=12, total_delay=88, md5=35a46890b90213ee2c243986b26bef86
Unknown Frame: size=23928, net_delay=72, decode_delay=4, encode_delay=12, total_delay=88, md5=3f82167f04f0f1ad39747203b4e42fd5
Unknown Frame: size=23137, net_delay=73, decode_delay=4, encode_delay=11, total_delay=88, md5=811755d1444a3f5b788d21254d1c383c
Unknown Frame: size=22854, net_delay=72, decode_delay=4, encode_delay=11, total_delay=87, md5=ca5f6d598c10d699f2b9602ff6bfaa42
Unknown Frame: size=22727, net_delay=72, decode_delay=4, encode_delay=11, total_delay=87, md5=9bc3a6fb58c33cd7db0b4dfddd488996
Unknown Frame: size=22735, net_delay=72, decode_delay=4, encode_delay=11, total_delay=87, md5=ad38347ce8962344baf0ee3735351d1c
Unknown Frame: size=22748, net_delay=74, decode_delay=4, encode_delay=10, total_delay=88, md5=a1df2be3a64d0c36d47c25cfc36250c9
Unknown Frame: size=22495, net_delay=73, decode_delay=4, encode_delay=10, total_delay=87, md5=a301dfedc40d7a87b20be8ffb5aa5c25
Unknown Frame: size=23171, net_delay=74, decode_delay=4, encode_delay=10, total_delay=88, md5=5df46177d19166e801287991060d3cc8
Unknown Frame: size=23581, net_delay=72, decode_delay=4, encode_delay=11, total_delay=87, md5=03e744d44d8f104515342af75074f211
Unknown Frame: size=24135, net_delay=70, decode_delay=4, encode_delay=12, total_delay=86, md5=b353239e4b1fd6e23b60dcd066ed073f
Unknown Frame: size=23744, net_delay=71, decode_delay=4, encode_delay=11, total_delay=86, md5=e0f5cb04510f0d650e60ce851b900399
Unknown Frame: size=23962, net_delay=72, decode_delay=4, encode_delay=12, total_delay=88, md5=9c449f494f60a1da10b40c359e4d5fde
Unknown Frame: size=22988, net_delay=71, decode_delay=4, encode_delay=11, total_delay=86, md5=33805d31cc1f61af6d862e3d0ceab38e
Unknown Frame: size=22744, net_delay=71, decode_delay=4, encode_delay=10, total_delay=85, md5=1bfbb50c64f1a89e088ccb83635c282b
Unknown Frame: size=22989, net_delay=71, decode_delay=4, encode_delay=11, total_delay=86, md5=38a80ab033963887320ca07d4ed9be73
Unknown Frame: size=23161, net_delay=71, decode_delay=4, encode_delay=10, total_delay=85, md5=9fec62825513a0623c0edc85d3e6791e
Unknown Frame: size=22679, net_delay=71, decode_delay=4, encode_delay=10, total_delay=85, md5=e67ffefe74af989686daa2320f54b542
