Frame not received: Unknown Frame: size=41216, net_delay=None, decode_delay=None, encode_delay=38, total_delay=None, md5=4e97ea269d9c3787edd1e943eb9944a2
Unknown Frame: size=33743, net_delay=79, decode_delay=5, encode_delay=12, total_delay=96, md5=175b3c6d67dace4bd53e46480e37b1ef
Unknown Frame: size=34568, net_delay=77, decode_delay=5, encode_delay=17, total_delay=99, md5=352320a140338d6dcec9c10d8b826e94
Unknown Frame: size=29599, net_delay=87, decode_delay=5, encode_delay=11, total_delay=103, md5=29612aac6fa303dc91655cb384f1075d
Unknown Frame: size=32717, net_delay=91, decode_delay=4, encode_delay=12, total_delay=107, md5=323f67902756b693c8c77b6ad6622611
Unknown Frame: size=31226, net_delay=96, decode_delay=5, encode_delay=12, total_delay=113, md5=2654afb7c7bb98dd0999bf5ba9798af0
Unknown Frame: size=44995, net_delay=118, decode_delay=7, encode_delay=14, total_delay=139, md5=042104d12efdbc928fb34208c647315a
Unknown Frame: size=41608, net_delay=139, decode_delay=7, encode_delay=13, total_delay=159, md5=7dda57c7ce15843d7a7b018c2c7083ef
Unknown Frame: size=28373, net_delay=142, decode_delay=5, encode_delay=12, total_delay=159, md5=982c8a1872bcbad40340ef68bc6c1cf6
Unknown Frame: size=19993, net_delay=137, decode_delay=3, encode_delay=9, total_delay=149, md5=c9460b372dd6eec3b96b23abb456f4d3
Unknown Frame: size=15567, net_delay=123, decode_delay=3, encode_delay=9, total_delay=135, md5=3a6e0c01f6c5a959e455ec24d1d294d4
Unknown Frame: size=26715, net_delay=122, decode_delay=4, encode_delay=11, total_delay=137, md5=b7e7d645611d305b2f546cd90dbaee4a
Unknown Frame: size=18080, net_delay=121, decode_delay=3, encode_delay=10, total_delay=134, md5=5b37df4593986f86215658b543c40adb
Unknown Frame: size=17777, net_delay=125, decode_delay=3, encode_delay=9, total_delay=137, md5=1af19419be73e9e4de921751dc838a56
Unknown Frame: size=13952, net_delay=126, decode_delay=3, encode_delay=9, total_delay=138, md5=da700edc361f6360b71921ee771c99c6
Unknown Frame: size=10665, net_delay=130, decode_delay=2, encode_delay=7, total_delay=139, md5=4f603e876d8db3489b2ec5fb68907622
Unknown Frame: size=27554, net_delay=125, decode_delay=4, encode_delay=11, total_delay=140, md5=832e3b2edcd99d41732e26fe6db116b7
Unknown Frame: size=22167, net_delay=125, decode_delay=4, encode_delay=10, total_delay=139, md5=8a37f3cd29b4476f130f3ba2bb2183e8
Unknown Frame: size=20486, net_delay=122, decode_delay=3, encode_delay=11, total_delay=136, md5=4a2142c7895a466445f6b38e39ee1883
Unknown Frame: size=14450, net_delay=121, decode_delay=3, encode_delay=9, total_delay=133, md5=3eaf839d148f3a66df115b2192d240d8
Unknown Frame: size=25420, net_delay=121, decode_delay=4, encode_delay=10, total_delay=135, md5=2d63491dfb82213721309b0ff8663b9a
Unknown Frame: size=6451, net_delay=121, decode_delay=2, encode_delay=7, total_delay=130, md5=bf75e446e59f758a99519d9a61e2f8a5
Unknown Frame: size=16231, net_delay=120, decode_delay=3, encode_delay=8, total_delay=131, md5=121f8640f9b6bb12ad8bd75b1b23e61e
Unknown Frame: size=8449, net_delay=119, decode_delay=2, encode_delay=7, total_delay=128, md5=ab5e1ccb975da01a2d44795b108c1755
Unknown Frame: size=12937, net_delay=116, decode_delay=3, encode_delay=9, total_delay=128, md5=1a73aaf46d507b3d5fbe997e42a1eaa2
Unknown Frame: size=15284, net_delay=115, decode_delay=3, encode_delay=10, total_delay=128, md5=0a30194697cc74e59fe20e33e00b7b18
Unknown Frame: size=10912, net_delay=115, decode_delay=3, encode_delay=9, total_delay=127, md5=0877ac6c6b9d8d5dffd2f48ff23fa9a6
Unknown Frame: size=14652, net_delay=113, decode_delay=3, encode_delay=10, total_delay=126, md5=118e7cda4c5c22a58be4ae513b4c3e41
Unknown Frame: size=13021, net_delay=113, decode_delay=3, encode_delay=9, total_delay=125, md5=d0b6730592b4f90b815c5825851d0d7c
Unknown Frame: size=29533, net_delay=110, decode_delay=5, encode_delay=11, total_delay=126, md5=5a03b0d37c4e3c8ce123025ec3edf810
Unknown Frame: size=2731, net_delay=114, decode_delay=1, encode_delay=6, total_delay=121, md5=b3b38eceb5769e2c4998255f80c15749
Unknown Frame: size=14286, net_delay=109, decode_delay=3, encode_delay=9, total_delay=121, md5=9bf7445a9360b4ead6d032ab4949273a
Unknown Frame: size=14277, net_delay=107, decode_delay=3, encode_delay=10, total_delay=120, md5=e0e01053b2ad9cc07fb034dfc56e1a84
Unknown Frame: size=13822, net_delay=108, decode_delay=4, encode_delay=10, total_delay=122, md5=bec4af85a9760fa1b2682d4a37e79163
Unknown Frame: size=16740, net_delay=106, decode_delay=3, encode_delay=11, total_delay=120, md5=f4feacbee67f3e4baf4ebcbdf12a2c24
Unknown Frame: size=12505, net_delay=105, decode_delay=3, encode_delay=11, total_delay=119, md5=69ec8a8ff3e82c216b7a766e4d119b8d
Unknown Frame: size=12818, net_delay=104, decode_delay=3, encode_delay=11, total_delay=118, md5=e2804520e0d61079ea038199ac78da4f
Unknown Frame: size=14728, net_delay=103, decode_delay=3, encode_delay=11, total_delay=117, md5=cd084968f4941437e90ecbb438205c25
Unknown Frame: size=12255, net_delay=102, decode_delay=3, encode_delay=11, total_delay=116, md5=7beb0d381d449de2d2d451d21854d740
Unknown Frame: size=10955, net_delay=102, decode_delay=3, encode_delay=10, total_delay=115, md5=c86954ce1b7c97f5790c1feb8225269f
Unknown Frame: size=16855, net_delay=99, decode_delay=4, encode_delay=12, total_delay=115, md5=d6b2b7f2c10f9f3055f8466833c20b25
Unknown Frame: size=10862, net_delay=103, decode_delay=2, encode_delay=10, total_delay=115, md5=d01addfa8b1f88d05d10331130cf8ff3
Unknown Frame: size=10490, net_delay=101, decode_delay=2, encode_delay=10, total_delay=113, md5=ce1112e26e291757f52f4a50542a1455
Unknown Frame: size=13147, net_delay=99, decode_delay=3, encode_delay=11, total_delay=113, md5=0c2f50476343fc15cbe1474aa2f0978d
Unknown Frame: size=10718, net_delay=100, decode_delay=2, encode_delay=9, total_delay=111, md5=b84351db85f6c490adc0835f33664cc7
Unknown Frame: size=14185, net_delay=98, decode_delay=4, encode_delay=10, total_delay=112, md5=eb71410ac9d7aad072e58a8aa7b9e4d0
Unknown Frame: size=17252, net_delay=97, decode_delay=4, encode_delay=11, total_delay=112, md5=a91b4c541eae6b714f7f60ad0c097713
Unknown Frame: size=7261, net_delay=100, decode_delay=2, encode_delay=8, total_delay=110, md5=843c3d83d72ce19fe0102e753d8fec93
Unknown Frame: size=15348, net_delay=99, decode_delay=4, encode_delay=9, total_delay=112, md5=222a7267c20e67b78df8db146d53b5ac
Unknown Frame: size=7016, net_delay=101, decode_delay=2, encode_delay=8, total_delay=111, md5=8e42edc47c386524bf5fda7376931dca
Unknown Frame: size=15087, net_delay=96, decode_delay=4, encode_delay=11, total_delay=111, md5=28f51e37b9d9b79088d9e021f2974cf0
Unknown Frame: size=8882, net_delay=98, decode_delay=2, encode_delay=8, total_delay=108, md5=4830756c40a72ed8c465e05f00d7ff39
Unknown Frame: size=10535, net_delay=97, decode_delay=3, encode_delay=9, total_delay=109, md5=c37180901c51221cb3b516053c341feb
Unknown Frame: size=12054, net_delay=96, decode_delay=3, encode_delay=10, total_delay=109, md5=eb33a71467864e6de723910be118cc48
Unknown Frame: size=18283, net_delay=94, decode_delay=3, encode_delay=11, total_delay=108, md5=fc8f27553ce2dd23247c7fb5c2318cce
Unknown Frame: size=12098, net_delay=95, decode_delay=3, encode_delay=10, total_delay=108, md5=c35bd6d445651aacb6a04f937af6bd02
Unknown Frame: size=15179, net_delay=94, decode_delay=3, encode_delay=10, total_delay=107, md5=0ed7bc16dadf3a0842696f8906c47b6b
Unknown Frame: size=17960, net_delay=96, decode_delay=3, encode_delay=10, total_delay=109, md5=837fa2960c57f290d5f18f0de3678ad9
Unknown Frame: size=19162, net_delay=93, decode_delay=4, encode_delay=11, total_delay=108, md5=e33d55b116371bafa56b2045a30353f9
Unknown Frame: size=20343, net_delay=94, decode_delay=3, encode_delay=11, total_delay=108, md5=f15b459f3b094cab859e56dddb3444b7
Unknown Frame: size=27015, net_delay=92, decode_delay=5, encode_delay=12, total_delay=109, md5=4fe914b14f48a2c463a46fb67d7bcde4
Unknown Frame: size=24263, net_delay=91, decode_delay=4, encode_delay=12, total_delay=107, md5=2d4c126ce2bdead0794b594d2ee6da3b
Unknown Frame: size=19640, net_delay=92, decode_delay=3, encode_delay=11, total_delay=106, md5=6224ca12d1f5eb6b3343359f17cb68af
Unknown Frame: size=20046, net_delay=92, decode_delay=4, encode_delay=11, total_delay=107, md5=284d08844086b399e3852c7c772c8995
Unknown Frame: size=32308, net_delay=89, decode_delay=6, encode_delay=14, total_delay=109, md5=65ba903ed976f99dceacb4fcbb26a2c4
Unknown Frame: size=23796, net_delay=92, decode_delay=5, encode_delay=12, total_delay=109, md5=e80f76d95c9474d9c72b299d2a692a1a
Unknown Frame: size=25246, net_delay=92, decode_delay=5, encode_delay=12, total_delay=109, md5=f55761da757c882da39cdd8793932d89
Unknown Frame: size=35808, net_delay=90, decode_delay=6, encode_delay=13, total_delay=109, md5=1374df4ad01e8dd7c474357219f51278
Unknown Frame: size=38597, net_delay=91, decode_delay=7, encode_delay=14, total_delay=112, md5=6af38178387190a404504eda1921178a
Unknown Frame: size=30096, net_delay=92, decode_delay=5, encode_delay=13, total_delay=110, md5=1c322383d0b5a42e872bc3da775a3f0b
Unknown Frame: size=35252, net_delay=93, decode_delay=6, encode_delay=13, total_delay=112, md5=b1d2310d0aa3ae26db97947405aa523d
Unknown Frame: size=58151, net_delay=113, decode_delay=8, encode_delay=17, total_delay=138, md5=a0022f422726bbad923d3b40fe471eee
Unknown Frame: size=51059, net_delay=143, decode_delay=8, encode_delay=16, total_delay=167, md5=3366836fdf20961eaf494bf89d31516f
Unknown Frame: size=43996, net_delay=164, decode_delay=7, encode_delay=15, total_delay=186, md5=3771e64895f08b7535c95c77f132fc21
Unknown Frame: size=39657, net_delay=180, decode_delay=7, encode_delay=15, total_delay=202, md5=0b86fbb1c45317f35780af01823ffc82
Unknown Frame: size=44036, net_delay=200, decode_delay=7, encode_delay=16, total_delay=223, md5=a9ce63323a42812ebfa0385bd40a9e49
Unknown Frame: size=39439, net_delay=214, decode_delay=7, encode_delay=14, total_delay=235, md5=97ea1ca589c6e56a73349483c31777bb
Unknown Frame: size=34161, net_delay=226, decode_delay=5, encode_delay=13, total_delay=244, md5=9d867cdabd450ba26eb5cce5f6538018
Unknown Frame: size=28076, net_delay=225, decode_delay=5, encode_delay=13, total_delay=243, md5=3ba90ccfee98266fa067799ab0cbcd5f
Unknown Frame: size=27932, net_delay=225, decode_delay=5, encode_delay=13, total_delay=243, md5=9561ac9e7a3699b9ca9d98806143cf81
Unknown Frame: size=29462, net_delay=228, decode_delay=5, encode_delay=13, total_delay=246, md5=8a62a187f2051f39c57be0fb59078b55
Unknown Frame: size=40993, net_delay=241, decode_delay=6, encode_delay=16, total_delay=263, md5=d3157c4806bc83512f73aae086ca6841
Unknown Frame: size=14699, net_delay=230, decode_delay=3, encode_delay=10, total_delay=243, md5=bc0e489a2db57995d7e80e716073f8c6
Unknown Frame: size=20402, net_delay=221, decode_delay=4, encode_delay=12, total_delay=237, md5=37932c9eea72431f442681750688caeb
Unknown Frame: size=18166, net_delay=208, decode_delay=4, encode_delay=11, total_delay=223, md5=fe9a337a5d9aa9e34bf00ed75fcf906e
Unknown Frame: size=32655, net_delay=212, decode_delay=5, encode_delay=13, total_delay=230, md5=d308c45efdbb644a6de0d720a27f27f1
Unknown Frame: size=20046, net_delay=206, decode_delay=4, encode_delay=11, total_delay=221, md5=c345fe3364f5966f3f31a437e1ecf8cb
Unknown Frame: size=17959, net_delay=193, decode_delay=4, encode_delay=11, total_delay=208, md5=020415e38c750bec806bf2bc46b0bdb1
Unknown Frame: size=18622, net_delay=183, decode_delay=4, encode_delay=11, total_delay=198, md5=cab26e3b2a4252c6bdbbbf5dec91fc19
Unknown Frame: size=20225, net_delay=173, decode_delay=4, encode_delay=11, total_delay=188, md5=1023a0a7440a5d66325131d998227b72
Unknown Frame: size=39826, net_delay=187, decode_delay=7, encode_delay=14, total_delay=208, md5=236099d0a3bd3e84a8ce2cc45d09d1f1
Unknown Frame: size=26238, net_delay=198, decode_delay=5, encode_delay=12, total_delay=215, md5=d24670838d7a89baf4bd9d130ce1f84a
Unknown Frame: size=22709, net_delay=196, decode_delay=4, encode_delay=11, total_delay=211, md5=2bad1fead2e2d9b28bf030d2176c553b
Unknown Frame: size=22888, net_delay=195, decode_delay=4, encode_delay=11, total_delay=210, md5=8481de21f5c1ca9d749c8807e4374f8e
Unknown Frame: size=24448, net_delay=197, decode_delay=4, encode_delay=11, total_delay=212, md5=7e97fe9af3848192f8454555587ff387
Unknown Frame: size=23952, net_delay=196, decode_delay=4, encode_delay=11, total_delay=211, md5=6dbe999002657516715c5f6cea42957d
Unknown Frame: size=26410, net_delay=198, decode_delay=4, encode_delay=13, total_delay=215, md5=ffc661daf448df02e1948f7fdd51c355
Unknown Frame: size=27214, net_delay=203, decode_delay=4, encode_delay=13, total_delay=220, md5=1aa6ac54f4b8f89eb0f086fa6e93e8ab
Unknown Frame: size=30199, net_delay=210, decode_delay=5, encode_delay=14, total_delay=229, md5=93d51f976ef896bb190538b8483beaad
Unknown Frame: size=23808, net_delay=211, decode_delay=4, encode_delay=12, total_delay=227, md5=ac09dbd26370f050abb7aefc867a4a21
Unknown Frame: size=17398, net_delay=204, decode_delay=4, encode_delay=12, total_delay=220, md5=7409c526d87cfafc4109494ec797c135
Unknown Frame: size=16205, net_delay=193, decode_delay=3, encode_delay=12, total_delay=208, md5=c41fb97ae9c246b543b458853d59c6ec
Unknown Frame: size=14520, net_delay=193, decode_delay=3, encode_delay=10, total_delay=206, md5=c0c651f2bbc8418ffb9aabc09e13282e
Unknown Frame: size=17221, net_delay=194, decode_delay=4, encode_delay=10, total_delay=208, md5=b7c056bc247263b02acbcda201e5cb67
Unknown Frame: size=18569, net_delay=195, decode_delay=3, encode_delay=12, total_delay=210, md5=79c21f3a7f806757fd94429728efdfe6
Unknown Frame: size=15565, net_delay=198, decode_delay=3, encode_delay=11, total_delay=212, md5=55855e1afc5f87c28df9b6ea83552889
Unknown Frame: size=15559, net_delay=198, decode_delay=3, encode_delay=10, total_delay=211, md5=8bfd0f0a502e4b7151aadc9400547c85
Unknown Frame: size=17502, net_delay=198, decode_delay=4, encode_delay=10, total_delay=212, md5=60d754055dd948f5e0aea1f8a9b178ba
Unknown Frame: size=17669, net_delay=198, decode_delay=4, encode_delay=10, total_delay=212, md5=06480c5c7d08c71de78f0d2edfc21662
Unknown Frame: size=17819, net_delay=196, decode_delay=4, encode_delay=11, total_delay=211, md5=58bf43e1673c89ed01f21f52a601bd3c
Unknown Frame: size=17108, net_delay=196, decode_delay=3, encode_delay=11, total_delay=210, md5=6985f898c1d2c482e2ffd00136ec98d5
Unknown Frame: size=17318, net_delay=194, decode_delay=3, encode_delay=10, total_delay=207, md5=f1250d251debb3f9cd5e00df6f124c9f
Unknown Frame: size=15510, net_delay=196, decode_delay=3, encode_delay=10, total_delay=209, md5=b4bb676cc7cca41c47ba0925e6c5194e
Unknown Frame: size=17744, net_delay=192, decode_delay=3, encode_delay=11, total_delay=206, md5=41281bfd3461d4ea25948fafc4d62215
Unknown Frame: size=14808, net_delay=191, decode_delay=4, encode_delay=10, total_delay=205, md5=62b45647333131e0d6311bf7333ac766
Unknown Frame: size=27253, net_delay=190, decode_delay=5, encode_delay=11, total_delay=206, md5=d0150c351d69e58187b075d3b3cf6c12
Unknown Frame: size=19363, net_delay=190, decode_delay=3, encode_delay=10, total_delay=203, md5=2c4b3f82deb0ae1ea02fd5e69000f655
Unknown Frame: size=24154, net_delay=186, decode_delay=5, encode_delay=12, total_delay=203, md5=6a1df87abc01e093ac3e51210c370701
Unknown Frame: size=21615, net_delay=184, decode_delay=4, encode_delay=12, total_delay=200, md5=3f5ea1c31e2138a83cd8f9072d76fc7a
Unknown Frame: size=22309, net_delay=184, decode_delay=4, encode_delay=12, total_delay=200, md5=7abe8cb700eb8b2f9118d364214cb909
Unknown Frame: size=22354, net_delay=181, decode_delay=4, encode_delay=12, total_delay=197, md5=42b75d0fa024e9876964e453e1af3101
Unknown Frame: size=17757, net_delay=180, decode_delay=4, encode_delay=11, total_delay=195, md5=794bf3a1fd435630f9f690e5dee81995
Unknown Frame: size=15653, net_delay=180, decode_delay=3, encode_delay=10, total_delay=193, md5=8c16997d80f02ebe10dbd7b68b4d3255
Unknown Frame: size=14317, net_delay=179, decode_delay=3, encode_delay=10, total_delay=192, md5=8946489ba0441804f1758ec479d5c89c
Unknown Frame: size=17220, net_delay=179, decode_delay=3, encode_delay=9, total_delay=191, md5=0d67b4c7148b9a560168ef4594cf8085
Unknown Frame: size=15447, net_delay=177, decode_delay=3, encode_delay=9, total_delay=189, md5=4ea4624f1ecf85e31525334c9d99e473
Unknown Frame: size=14629, net_delay=180, decode_delay=2, encode_delay=9, total_delay=191, md5=1750511f4659005a8736e8e4ad509ca1
Unknown Frame: size=10437, net_delay=179, decode_delay=3, encode_delay=8, total_delay=190, md5=b5a2e9e308af3b67f012239eb274e135
Unknown Frame: size=25577, net_delay=175, decode_delay=4, encode_delay=11, total_delay=190, md5=25b9b3fbaa2babbf7058a4a5c6efc508
Unknown Frame: size=24746, net_delay=172, decode_delay=4, encode_delay=12, total_delay=188, md5=991c9041c841f823568c69be6f0f34c4
Unknown Frame: size=24314, net_delay=171, decode_delay=4, encode_delay=11, total_delay=186, md5=c37f70abb698ab6c92a354b0badd9e47
Unknown Frame: size=22660, net_delay=168, decode_delay=4, encode_delay=12, total_delay=184, md5=29a181e05245d890b7774e2eecfc0e0d
Unknown Frame: size=16500, net_delay=168, decode_delay=3, encode_delay=10, total_delay=181, md5=ef25b68160c90e9a01989b5323de4305
Unknown Frame: size=24768, net_delay=167, decode_delay=4, encode_delay=10, total_delay=181, md5=899793edf1a8f7fc2b930024a3ed708b
Unknown Frame: size=17406, net_delay=166, decode_delay=3, encode_delay=10, total_delay=179, md5=565df6162d0f0867e16861ae0640dd53
Unknown Frame: size=19067, net_delay=167, decode_delay=3, encode_delay=9, total_delay=179, md5=2794aab498267bbb51af01afefbaebc7
Unknown Frame: size=13887, net_delay=168, decode_delay=2, encode_delay=9, total_delay=179, md5=c6d10566f65a325aa176046c3545b0e1
